Fishery,ADFG,Set_Date,District,Hauls,Dredge_Hrs,Est_Round_Wt,Meat_Wt,Sample_Hrs,Tanner_Count,Opilio_Count,Dungeness_Count,Halibut_Count,Discard_Count,Discard_Weight,Broken_Weight,Rem_Disc_Wt,Clapper_Count,King_Count
"DS11",32554,"08-04-2011","YAK",15,22.67,7727.3,439.98,3.08,0,0,0,0,253,61,68,60,9,0
"DS11",32554,"08-05-2011","YAK",24,35.83,19116.8,1359.95,3.67,0,0,0,1,1010,212,70,613,16,0
"DS11",32554,"08-06-2011","YAK",24,35.50,19016.6,1380.00,3.75,8,0,0,0,1150,233,45,1621,10,0
"DS11",32554,"08-07-2011","YAK",24,36.00,16257.0,1230.00,3.75,2,0,0,1,819,178,76,310,6,0
"DS11",32554,"08-08-2011","YAK",23,34.83,16357.2,1199.99,3.00,0,0,0,0,409,89,41,42,12,0
"DS11",32554,"08-09-2011","YAK",24,36.67,16608.3,1140.01,3.75,1,0,0,0,620,119,72,252,37,0
"DS11",32554,"08-10-2011","YAK",24,33.16,17009.5,1289.99,3.75,6,0,0,0,1203,180,105,151,7,0
"DS11",32554,"08-11-2011","YAK",23,31.65,20822.9,1290.01,3.25,17,0,0,1,723,129,101,303,33,0
"DS11",32554,"08-12-2011","YAK",24,36.00,20672.4,1590.02,3.75,10,0,0,1,267,57,106,0,38,0
"DS11",32554,"08-13-2011","YAK",23,34.67,23532.7,1799.99,3.75,6,0,0,0,311,55,134,0,58,0
"DS11",32554,"08-14-2011","YAK",24,35.83,17862.5,1289.98,3.75,3,0,0,2,841,128,118,157,22,0
"DS11",32554,"08-15-2011","YAK",20,35.34,13898.8,1079.99,0,0,0,0,0,0,0,0,0,0,0
"DS11",32554,"08-16-2011","YAK",20,31.83,28048.2,1799.98,3.00,8,0,0,3,542,96,126,305,44,0
"DS11",32554,"08-17-2011","YAK",13,19.50,9533.5,810.01,2.25,10,0,1,1,530,93,72,387,32,0
"DS11",32554,"08-18-2011","YAK",24,35.83,17511.4,1379.99,3.75,7,0,0,0,1196,214,54,585,47,0
"DS11",32554,"08-19-2011","YAK",22,37.16,15253.5,1170.01,0,0,0,0,0,0,0,0,0,0,0
"DS11",32554,"08-20-2011","YAK",21,34.00,21073.8,1349.98,3.75,2,0,0,1,551,120,165,280,151,0
"DS11",32554,"08-21-2011","YAK",23,34.50,20270.9,1499.99,3.75,3,0,0,0,186,56,221,245,107,0
"DS11",32554,"08-22-2011","YAK",9,13.33,6472.6,570.00,0,0,0,0,0,0,0,0,0,0,0
"DS11",32554,"08-23-2011","YAK",13,19.50,9633.8,600.03,3.00,2,0,0,1,330,54,152,123,57,0
"DS11",32554,"08-24-2011","YAK",22,32.32,18564.7,1410.01,3.67,0,0,0,0,345,64,201,105,68,0
"DS11",32554,"08-25-2011","YAK",24,35.99,18515.0,1320.02,0.75,0,0,0,0,245,31,23,93,26,0
"DS11",32554,"08-26-2011","YAK",23,35.67,18163.7,1199.96,0,0,0,0,0,0,0,0,0,0,0
"DS11",32554,"08-27-2011","YAK",24,35.15,18464.5,1260.01,2.25,11,0,0,2,512,81,83,215,25,0
"DS11",32554,"08-28-2011","YAK",24,35.66,20371.1,1350.01,3.75,3,0,0,10,609,94,171,328,111,0
"DS11",32554,"08-29-2011","YAK",23,34.67,26191.7,1889.99,3.75,56,0,0,0,926,171,120,388,141,0
"DS11",32554,"08-30-2011","YAK",24,34.83,21575.5,1590.00,3.67,31,0,1,0,905,159,108,293,107,0
"DS11",32554,"08-31-2011","YAK",18,25.31,17310.5,1360.00,2.17,28,0,0,0,546,89,80,246,76,0
"DS11",32554,"09-01-2011","D16",13,13.34,2431.5,151.01,1.00,0,0,0,0,20,3,15,0,4,0
"DS11",32554,"09-01-2011","YAK",2,3.17,551.9,34.00,0.75,0,0,0,0,26,5,48,0,8,0
"DS11",40924,"08-08-2011","YAK",9,16.34,6924.3,599.98,2.00,2,0,0,1,225,39,27,109,8,0
"DS11",40924,"08-09-2011","YAK",21,38.01,23733.0,1800.01,4.75,32,0,0,0,924,192,63,421,29,0
"DS11",40924,"08-10-2011","YAK",21,40.50,25188.0,1709.98,4.83,46,0,0,1,1181,214,51,770,22,0
"DS11",40924,"08-11-2011","YAK",21,37.19,20020.2,1530.02,4.58,17,0,0,0,982,190,76,271,20,0
"DS11",40924,"08-12-2011","YAK",22,38.99,21826.3,1709.99,3.25,28,0,0,3,1078,176,44,647,10,0
"DS11",40924,"08-13-2011","YAK",23,38.82,24084.4,1710.03,4.17,30,0,0,1,1203,222,37,675,30,0
"DS11",40924,"08-14-2011","YAK",22,40.34,21626.1,1589.98,4.58,46,0,0,0,992,220,43,1180,20,0
"DS11",40924,"08-15-2011","YAK",25,36.17,13898.7,1170.02,1.50,8,0,1,0,670,105,36,56,1,0
"DS11",40924,"08-16-2011","YAK",32,36.53,21826.5,1710.00,2.75,8,0,0,0,727,112,30,23,6,0
"DS11",40924,"08-17-2011","YAK",31,34.34,20070.6,1710.06,2.67,10,0,1,0,1019,178,36,303,24,0
"DS11",40924,"08-18-2011","YAK",35,35.18,17662.0,1650.04,2.50,7,0,1,0,750,145,52,254,30,0
"DS11",40924,"08-19-2011","YAK",33,34.01,14199.9,1080.01,2.50,7,0,0,0,670,137,64,81,18,0
"DS11",40924,"08-20-2011","YAK",30,30.92,13597.8,1199.96,2.58,1,0,0,0,632,134,89,219,15,0
"DS11",40924,"08-21-2011","YAK",28,32.51,19568.5,1200.02,2.83,7,0,0,4,662,128,130,383,40,0
"DS11",40924,"08-22-2011","YAK",23,29.83,23181.2,1200.01,3.08,13,0,0,1,711,123,121,481,54,0
"DS11",40924,"08-23-2011","YAK",21,32.67,23281.5,1560.00,3.92,7,0,0,0,375,87,161,666,78,0
"DS11",40924,"08-24-2011","YAK",23,34.34,21425.1,1200.01,3.67,2,0,0,3,625,121,133,395,86,0
"DS11",40924,"08-25-2011","YAK",25,36.18,21324.7,1139.99,1.33,1,0,0,0,215,43,53,161,32,0
"DS11",40924,"08-26-2011","YAK",1,1.17,802.8,40.00,0,0,0,0,0,0,0,0,0,0,0
"DS11",40924,"08-27-2011","YAK",5,6.18,3361.7,160.00,1.33,0,0,0,1,218,38,54,110,34,0
"DS11",40924,"08-28-2011","YAK",25,34.35,19267.5,920.01,3.08,2,0,0,1,407,86,156,287,119,0
"DS11",40924,"08-29-2011","YAK",32,35.67,16859.3,1199.99,2.58,6,0,1,0,1144,200,75,280,56,0
"DS11",40924,"08-30-2011","YAK",30,35.00,19167.0,1709.99,2.84,21,0,1,1,1089,200,61,297,50,0
"DS11",40924,"08-31-2011","YAK",21,26.17,15905.7,1475.01,1.92,2,0,0,0,273,82,69,157,72,0
"DS11",40924,"09-01-2011","D16",25,28.68,10420.2,946.00,2.00,3,0,0,0,131,32,75,0,11,0
"DS11",40924,"09-01-2011","YAK",1,1.33,150.5,14.00,0.67,0,0,0,0,8,2,18,0,1,0
"DS11",40924,"09-02-2011","D16",12,13.52,6152.7,649.99,1.17,1,0,0,0,168,46,55,5,3,0
"DS11",58200,"01-12-2012","YAK",8,16.00,7125.0,359.98,4.00,0,0,0,0,129,39,119,9,19,0
"DS11",58200,"01-13-2012","YAK",19,37.16,18765.8,1530.03,5.00,0,0,0,0,242,69,157,16,39,0
"DS11",58200,"01-14-2012","YAK",18,35.49,21324.8,1440.00,4.92,3,0,0,0,125,46,209,0,29,0
"DS11",58200,"01-15-2012","YAK",20,38.81,19769.2,1320.04,5.00,4,0,0,0,202,73,140,0,26,0
"DS11",58200,"01-16-2012","YAK",20,38.82,17862.7,1140.00,4.83,0,0,0,0,119,53,139,29,19,0
"DS11",58200,"01-17-2012","YAK",20,39.33,18464.8,1110.02,4.83,1,0,0,1,182,56,126,0,23,0
"DS11",58200,"01-18-2012","YAK",20,39.66,20873.0,1170.03,4.92,0,0,0,0,124,48,100,0,27,0
"DS11",58200,"01-19-2012","YAK",20,38.65,18464.9,1170.04,4.92,0,0,0,0,149,71,122,0,39,0
"DS11",58200,"01-20-2012","YAK",18,33.17,15805.3,809.99,4.84,2,0,0,0,325,96,146,103,35,0
