Fishery,ADFG,Set_Date,District,Hauls,Dredge_Hrs,Est_Round_Wt,Meat_Wt,Sample_Hrs,Tanner_Count,Opilio_Count,Dungeness_Count,Halibut_Count,Discard_Count,Discard_Weight,Broken_Weight,Rem_Disc_Wt,Clapper_Count,King_Count
"DS15",40924,"08-12-2015","YAK",3,4.84,1276.8,65.00,0,0,0,0,0,0,0,0,0,0,0
"DS15",40924,"08-13-2015","YAK",22,39.50,14204.4,984.98,4.75,2,0,0,0,29,11,20,0,22,0
"DS15",40924,"08-14-2015","YAK",19,35.52,16864.2,1110.01,4.49,11,0,0,0,348,70,32,159,52,0
"DS15",40924,"08-15-2015","YAK",20,39.00,22928.8,1199.99,5.92,11,0,0,0,568,122,68,177,61,0
"DS15",40924,"08-16-2015","YAK",21,41.15,21439.4,1800.02,5.00,0,0,0,0,117,34,78,17,7,0
"DS15",40924,"08-17-2015","YAK",17,33.83,15108.8,1200.01,2.00,0,0,0,0,109,33,27,0,3,0
"DS15",40924,"08-18-2015","YAK",19,37.67,21013.9,1349.99,4.00,0,0,0,0,190,56,96,16,9,0
"DS15",40924,"08-19-2015","YAK",21,41.50,21173.3,1769.99,5.00,1,0,0,0,210,60,74,0,7,0
"DS15",40924,"08-20-2015","YAK",19,37.16,21598.4,1200.00,5.00,8,0,0,1,355,81,45,77,19,0
"DS15",40924,"08-21-2015","YAK",17,34.17,25055.8,1980.00,5.00,4,0,0,0,555,114,53,84,8,0
"DS15",40924,"08-22-2015","YAK",14,28.17,21385.4,1620.02,4.08,11,0,0,0,388,96,68,184,24,0
"DS15",40924,"08-23-2015","YAK",18,35.50,25694.2,1799.99,5.00,2,0,0,0,554,131,76,45,4,0
"DS15",40924,"08-24-2015","YAK",17,34.99,23035.0,1919.99,4.92,6,0,0,0,365,99,87,77,2,0
"DS15",40924,"08-25-2015","YAK",18,36.17,20907.0,1799.94,5.08,0,0,0,0,191,60,86,1,2,0
"DS15",40924,"08-26-2015","YAK",18,36.51,22821.8,1590.02,5.16,6,0,0,2,357,97,85,0,23,0
"DS15",40924,"08-27-2015","YAK",21,41.83,21386.2,1709.99,4.92,3,0,0,0,382,98,99,24,53,0
"DS15",40924,"08-28-2015","YAK",17,34.67,21066.5,1589.96,5.25,7,0,0,0,678,150,69,101,94,0
"DS15",40924,"08-29-2015","YAK",18,36.33,23034.8,1200.00,4.00,25,0,0,0,600,144,57,229,103,0
"DS15",40924,"08-30-2015","YAK",19,38.17,21120.3,2010.02,5.08,2,0,0,2,574,139,80,156,93,0
"DS15",40924,"08-31-2015","YAK",15,30.00,14948.9,1140.03,5.00,0,0,0,0,200,59,58,0,28,0
"DS15",40924,"09-01-2015","YAK",21,39.16,16970.8,1170.00,4.67,0,0,0,0,82,28,35,0,39,0
"DS15",40924,"09-02-2015","YAK",12,22.83,8884.4,749.99,2.75,0,0,0,0,38,20,23,0,29,0
"DS15",58200,"08-09-2015","YAK",5,8.35,3511.2,119.99,0,0,0,0,0,0,0,0,0,0,0
"DS15",58200,"08-10-2015","YAK",13,22.99,24470.9,1350.00,2.76,1,0,0,0,255,63,71,216,15,0
"DS15",58200,"08-11-2015","YAK",18,33.81,30695.0,1980.01,4.76,17,0,0,0,366,98,133,278,24,0
"DS15",58200,"08-12-2015","YAK",14,25.18,23832.7,1980.02,3.41,2,0,0,0,97,27,90,109,13,0
"DS15",58200,"08-13-2015","YAK",26,38.66,17715.6,1410.00,4.07,0,0,0,0,59,20,83,0,34,0
"DS15",58200,"08-14-2015","YAK",24,39.57,23408.0,1499.99,4.07,0,0,0,3,88,36,101,0,37,0
"DS15",58200,"08-15-2015","YAK",21,35.07,21865.0,1409.99,4.15,1,0,0,0,349,78,60,0,19,0
"DS15",58200,"08-16-2015","YAK",23,38.73,29152.7,1949.98,4.24,0,0,0,1,449,100,104,0,18,0
"DS15",58200,"08-17-2015","YAK",21,37.14,21226.6,1650.00,2.17,0,0,0,0,41,15,53,0,1,0
"DS15",58200,"08-18-2015","YAK",20,36.86,23514.0,1560.06,0,0,0,0,0,0,0,0,0,0,0
"DS15",58200,"08-19-2015","YAK",23,40.02,25482.7,1769.94,4.41,1,0,0,1,149,40,113,10,6,0
"DS15",58200,"08-20-2015","YAK",22,36.73,31706.6,1770.06,4.15,0,0,0,0,482,117,111,0,7,0
"DS15",58200,"08-21-2015","YAK",15,28.33,30535.3,2100.01,4.84,23,0,0,1,688,131,107,426,19,0
"DS15",58200,"08-22-2015","YAK",15,29.16,29418.3,1980.03,0,0,0,0,0,0,0,0,0,0,0
"DS15",58200,"08-23-2015","YAK",18,35.32,30322.6,2039.98,4.00,1,0,0,0,565,123,58,288,40,0
"DS15",58200,"08-24-2015","YAK",19,37.50,31918.3,2280.00,5.00,3,0,0,1,367,77,137,167,11,0
"DS15",58200,"08-25-2015","YAK",21,38.97,29471.7,2159.98,4.84,9,0,0,0,300,62,178,282,16,0
"DS15",58200,"08-26-2015","YAK",21,40.16,28939.7,2040.00,5.00,2,0,0,0,305,69,183,223,25,0
"DS15",58200,"08-27-2015","YAK",21,40.33,26759.0,1889.99,4.92,2,0,0,1,553,138,120,249,111,0
"DS15",58200,"08-28-2015","YAK",21,40.66,25003.6,1860.01,5.00,0,0,0,1,494,131,110,304,75,0
"DS15",58200,"08-29-2015","YAK",17,33.49,29950.4,1739.99,4.00,1,0,0,0,425,90,63,198,85,0
"DS15",58200,"08-30-2015","YAK",17,31.37,22183.6,1620.02,3.83,11,0,0,0,361,82,98,80,33,0
"DS15",58200,"08-31-2015","YAK",15,27.34,18938.7,1139.97,2.92,8,0,0,0,355,68,72,379,7,0
"DS15",58200,"09-01-2015","YAK",21,39.82,28141.8,2099.97,4.59,0,0,1,1,803,144,91,228,17,0
"DS15",58200,"09-02-2015","YAK",19,34.99,29631.2,1770.00,4.50,22,0,1,1,575,114,112,845,18,0
"DS15",58200,"09-03-2015","D16",4,6.82,2034.6,180.01,1.84,0,0,4,0,208,36,63,0,5,0
"DS15",58200,"09-03-2015","YAK",7,14.00,14416.6,1230.00,2.00,1,0,0,0,331,72,59,300,4,0
"DS15",58200,"09-07-2015","D16",3,4.50,242.2,0.00,0,0,0,0,0,0,0,0,0,0,0
"DS15",58200,"09-08-2015","D16",19,29.83,8235.6,690.00,3.41,0,0,4,0,181,32,83,50,12,0
"DS15",58200,"09-08-2015","YAK",4,6.00,4468.6,0.00,0.58,0,0,0,0,2,1,7,0,0,0
"DS15",58200,"09-09-2015","YAK",18,34.83,24258.2,1889.96,2.83,0,0,0,0,356,62,63,35,24,0
"DS15",58200,"09-10-2015","YAK",20,37.66,22768.8,1469.97,2.00,0,0,0,0,84,21,44,61,3,0
"DS15",58200,"09-11-2015","YAK",17,32.17,25854.3,1680.00,3.67,1,0,0,2,453,83,125,46,29,0
"DS15",58200,"09-12-2015","YAK",20,37.98,25481.9,2040.03,4.92,5,0,0,1,754,146,98,170,37,0
"DS15",58200,"09-13-2015","YAK",21,40.33,25535.1,1950.03,4.92,1,0,0,0,771,148,61,124,52,0
"DS15",58200,"09-14-2015","YAK",22,41.33,26333.5,2039.99,4.50,1,0,0,1,731,152,110,159,41,0
"DS15",58200,"09-15-2015","YAK",18,35.17,26439.2,1829.98,3.83,3,0,2,2,651,126,67,534,25,0
"DS15",58200,"09-16-2015","YAK",18,34.50,19630.5,1620.00,1.67,1,0,0,0,239,45,50,47,11,0
"DS15",58200,"09-17-2015","YAK",20,39.50,25747.8,1680.01,5.00,3,0,0,0,856,193,63,916,30,0
"DS15",58200,"09-18-2015","YAK",19,36.34,25216.0,1830.03,4.83,0,0,0,3,600,130,71,137,43,0
"DS15",58200,"09-19-2015","YAK",20,38.50,25162.9,1829.99,4.00,2,0,0,0,645,132,63,264,35,0
"DS15",58200,"09-20-2015","YAK",22,41.81,24471.8,1590.03,0,0,0,0,0,0,0,0,0,0,0
"DS15",58200,"09-21-2015","YAK",19,36.32,22609.0,1590.01,4.92,1,0,0,0,323,57,109,19,31,0
"DS15",58200,"09-22-2015","YAK",19,37.50,28939.5,1890.01,3.00,0,0,0,0,686,103,84,171,24,0
"DS15",58200,"09-23-2015","YAK",3,6.00,2340.7,0.00,0,0,0,0,0,0,0,0,0,0,0
"DS15",58200,"09-24-2015","YAK",7,12.99,8405.4,450.02,1.92,0,0,0,0,13,5,30,0,1,0
"DS15",58200,"09-25-2015","YAK",22,39.19,25854.9,2130.01,4.58,2,0,0,0,92,27,100,0,15,0
"DS15",58200,"09-26-2015","YAK",24,40.03,26173.9,1950.02,4.08,0,0,0,1,117,31,140,10,12,0
"DS15",58200,"09-27-2015","YAK",20,33.53,23354.5,1709.96,2.50,0,0,0,0,114,26,81,24,10,0
"DS15",58200,"09-28-2015","YAK",20,37.66,24471.1,1649.96,2.00,0,0,0,0,60,15,49,20,6,0
"DS15",58200,"09-29-2015","YAK",9,17.33,10480.2,959.99,0,0,0,0,0,0,0,0,0,0,0
"DS15",58200,"09-30-2015","YAK",1,1.33,798.0,0.00,0,0,0,0,0,0,0,0,0,0,0
"DS15",58200,"10-01-2015","YAK",23,40.48,25588.8,1739.96,4.09,0,0,0,0,188,47,43,0,16,0
"DS15",58200,"10-02-2015","YAK",21,41.50,28939.7,2340.02,4.92,2,0,0,0,397,84,81,135,27,0
"DS15",58200,"10-03-2015","YAK",18,36.00,29631.2,2310.00,5.00,3,0,0,0,616,115,52,114,15,0
"DS15",58200,"10-04-2015","YAK",19,38.00,27822.5,2340.00,4.00,1,0,0,0,363,66,62,70,18,0
"DS15",58200,"10-05-2015","YAK",17,32.83,23141.1,1950.01,3.67,2,0,0,0,486,81,33,98,11,0
"KS15",40924,"07-01-2015","KNE",17,28.18,4240.8,299.98,3.58,1,0,0,0,45,12,16,0,6,0
"KS15",40924,"07-02-2015","KNE",20,35.51,17056.0,1199.99,4.42,90,0,0,15,260,67,46,0,4,0
"KS15",40924,"07-03-2015","KNE",20,38.33,15642.0,1800.00,4.00,55,0,0,4,354,81,56,16,1,0
"KS15",40924,"07-04-2015","KNE",19,35.98,15551.3,1800.00,4.92,91,0,0,22,384,113,75,12,6,0
"KS15",40924,"07-05-2015","KNE",20,37.47,15368.8,1500.01,3.84,109,0,0,17,402,110,41,47,9,0
"KS15",40924,"07-06-2015","KNE",19,37.49,15551.2,1500.02,4.92,75,0,0,8,386,110,51,101,4,0
"KS15",40924,"07-07-2015","KNE",17,31.00,12541.0,899.99,4.58,40,0,0,12,244,66,37,70,1,0
"KS15",40924,"07-08-2015","KNE",19,37.32,18652.3,1799.98,4.92,226,0,0,16,552,155,72,320,9,0
"KS15",40924,"07-09-2015","KNE",14,26.99,11538.0,1500.01,2.75,57,0,0,15,374,101,38,147,14,0
"KS15",40924,"07-10-2015","KNE",18,35.33,20749.6,1440.01,5.00,43,0,0,3,520,136,62,230,42,0
"KS15",40924,"07-11-2015","KNE",19,37.49,16098.5,1979.99,4.92,56,0,0,7,534,149,60,132,20,0
"KS15",40924,"07-12-2015","KNE",5,10.00,3465.9,510.00,0,0,0,0,0,0,0,0,0,0,0
"KS15",40924,"07-16-2015","KSH",21,31.69,11108.9,1049.98,3.91,3,0,0,3,158,43,77,0,11,0
"KS15",40924,"07-17-2015","KSH",30,33.37,14714.6,1200.03,2.58,3,0,0,1,292,72,49,0,20,0
"KS15",40924,"07-18-2015","KSH",22,27.88,11352.8,1350.00,2.82,9,0,0,0,225,50,56,0,23,0
"KS15",40924,"07-19-2015","KSH",22,36.38,12083.7,1109.99,4.24,7,0,0,0,311,75,27,0,19,0
"KS15",40924,"07-20-2015","KSH",21,37.01,12765.6,1110.01,4.33,19,0,0,0,467,112,56,0,26,0
"KS15",40924,"07-21-2015","KSH",23,38.03,13691.2,1320.05,4.24,11,0,1,1,495,126,55,0,19,0
"KS15",40924,"07-22-2015","KSH",21,35.70,7405.9,659.99,4.15,6,0,0,1,187,47,24,10,15,0
"KS15",40924,"07-23-2015","KSH",21,36.04,9842.2,839.99,4.33,4,0,0,0,45,14,36,0,30,0
"KS15",40924,"07-24-2015","KSH",22,36.06,11206.3,989.99,4.15,34,0,0,1,70,27,38,0,18,0
"KS15",40924,"07-25-2015","KSH",22,36.55,8770.2,810.00,4.15,2,0,0,1,146,35,27,0,24,0
"KS15",40924,"07-26-2015","KSH",22,38.02,10134.5,870.03,4.24,8,0,0,0,126,31,32,0,34,0
"KS15",40924,"07-27-2015","KSH",21,36.05,11937.4,960.01,4.49,5,0,0,0,75,25,21,0,18,0
"KS15",40924,"07-28-2015","KSH",22,36.57,11888.5,1019.93,4.15,4,0,0,0,49,16,19,0,32,0
"KS15",40924,"07-29-2015","KSH",24,39.40,11304.0,1109.97,4.07,7,0,1,0,573,132,30,17,19,0
"KS15",40924,"07-30-2015","KSH",23,37.87,10914.0,1039.97,4.24,7,0,0,0,738,167,43,25,15,0
"KS15",40924,"07-31-2015","KSH",23,28.18,7600.9,749.99,3.08,5,0,0,2,90,25,20,0,25,0
"KS15",40924,"08-01-2015","KSH",27,19.68,5213.9,599.97,3.17,9,0,0,0,42,11,27,0,23,0
"KS15",40924,"08-02-2015","KNE",3,2.41,1459.3,0.00,0,0,0,0,0,0,0,0,0,0,0
"KS15",40924,"08-02-2015","KSH",5,3.35,731.0,125.00,0,0,0,0,0,0,0,0,0,0,0
"KS15",40924,"08-03-2015","KNE",18,16.14,7159.6,865.02,4.58,46,0,0,8,175,42,25,0,24,0
"KS15",40924,"08-09-2015","KNE",8,15.67,7342.4,755.01,2.83,62,0,0,6,159,35,26,0,19,0
"KS15",40924,"08-10-2015","KNE",1,1.17,273.6,30.00,0,0,0,0,0,0,0,0,0,0,0
"KS15",54966,"07-01-2015","KNE",15,15.14,3921.6,273.00,4.00,0,0,0,1,0,0,29,0,1,0
"KS15",54966,"07-02-2015","KNE",5,4.26,1003.2,45.00,2.24,3,0,0,2,173,51,9,0,8,0
"KS15",54966,"07-03-2015","KNE",17,15.69,2827.2,182.04,4.07,0,0,0,0,2,1,45,0,2,0
"KS15",54966,"07-04-2015","KNE",14,12.83,1276.8,250.04,3.97,0,0,0,1,1,1,21,0,3,0
"KS15",54966,"07-05-2015","KNE",1,1.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"KS15",54966,"07-07-2015","KNE",4,4.22,456.0,0.00,2.00,0,0,0,0,0,0,41,0,4,0
"KS15",54966,"07-08-2015","KNE",17,17.97,4788.0,270.01,5.41,1,0,0,0,13,7,71,0,6,0
"KS15",54966,"07-09-2015","KNE",17,18.08,5289.6,811.00,5.37,0,0,0,1,14,7,72,0,15,0
"KS15",54966,"07-10-2015","KNE",7,7.43,2052.0,285.99,0,0,0,0,0,0,0,0,0,0,0
"KS15",54966,"07-11-2015","KSH",18,18.50,5505.7,404.98,5.17,1,0,0,0,876,237,23,16,8,0
"KS15",54966,"07-12-2015","KSH",17,18.69,4872.2,450.00,5.08,2,0,1,0,537,156,20,73,8,0
"KS15",54966,"07-13-2015","KSH",18,19.19,5749.3,494.98,5.28,9,0,0,0,902,249,28,143,17,0
"KS15",54966,"07-14-2015","KSH",18,18.60,6041.5,495.01,5.15,4,0,0,0,769,238,33,62,20,0
"KS15",54966,"07-15-2015","KSH",17,18.83,5115.9,494.99,4.89,0,0,0,1,555,154,25,13,14,0
"KS15",54966,"07-16-2015","KSH",15,18.46,3800.4,169.00,4.60,30,0,0,0,366,123,26,0,16,0
"KS15",54966,"07-19-2015","KSH",14,13.99,3995.3,277.98,3.87,1,0,0,1,353,123,31,115,4,0
"KS15",54966,"07-20-2015","KSH",18,19.66,4726.0,510.01,4.00,1,0,0,0,430,127,31,57,4,0
"KS15",54966,"07-21-2015","KSH",18,17.82,4384.9,324.00,4.91,2,0,0,0,334,140,32,0,15,0
"KS15",54966,"07-22-2015","KSH",18,19.08,5651.8,463.01,5.22,2,0,0,0,698,186,37,0,11,0
"KS15",54966,"07-23-2015","KSH",18,18.80,5115.9,602.00,5.27,0,0,0,1,763,202,50,0,11,0
"KS15",54966,"07-24-2015","KSH",16,19.19,4628.7,371.01,5.74,0,0,0,0,676,178,52,20,11,0
"KS15",54966,"07-25-2015","KSH",18,19.21,5993.1,509.98,5.53,4,0,0,1,776,193,53,0,23,0
"KS15",54966,"07-26-2015","KSH",19,18.98,5066.8,556.03,5.30,3,0,0,1,478,134,26,0,14,0
"KS15",54966,"07-27-2015","KSH",18,18.31,4628.8,417.05,5.00,2,0,0,0,148,53,36,0,10,0
"KS15",54966,"07-28-2015","KSH",7,7.58,2095.1,185.00,0,0,0,0,0,0,0,0,0,0,0
"KS15",58200,"07-01-2015","KNE",19,30.52,16143.7,1499.97,3.08,79,0,0,1,45,14,54,0,5,0
"KS15",58200,"07-02-2015","KNE",27,38.80,13635.2,1679.96,3.59,0,0,0,4,3,2,75,0,9,0
"KS15",58200,"07-03-2015","KNE",26,36.27,15459.4,1620.02,3.09,27,0,0,9,58,24,61,80,10,0
"KS15",58200,"07-04-2015","KNE",23,40.15,24033.4,2250.00,4.34,110,0,0,26,257,75,132,167,16,0
"KS15",58200,"07-05-2015","KNE",25,38.86,18652.2,1799.98,4.15,106,0,0,18,363,98,145,230,16,0
"KS15",58200,"07-06-2015","KNE",19,36.99,29779.5,2159.98,3.92,338,0,0,17,502,135,47,724,7,0
"KS15",58200,"07-07-2015","KNE",19,30.91,13498.7,1140.01,3.91,285,0,0,10,423,107,38,865,8,0
"KS15",58200,"07-08-2015","KNE",21,37.98,17466.5,1649.98,3.67,149,0,0,34,462,115,54,276,8,0
"KS15",58200,"07-09-2015","KNE",22,35.66,16371.8,1920.02,4.09,328,0,0,17,285,77,93,191,10,0
"KS15",58200,"07-10-2015","KNE",24,37.37,21571.1,3270.01,3.83,2,0,0,10,15,11,132,31,15,0
"KS15",58200,"07-11-2015","KNE",27,38.12,19564.4,2880.01,3.43,2,0,0,28,20,11,172,0,14,0
"KS15",58200,"07-12-2015","KNE",26,38.49,18606.2,2309.99,3.75,2,0,0,32,65,26,174,0,8,0
"KS15",58200,"07-13-2015","KNE",22,34.82,11172.7,1050.03,3.75,0,0,0,13,17,13,143,0,9,0
"KS15",58200,"07-14-2015","KNE",24,37.86,18150.2,1440.02,3.08,46,0,0,11,474,117,92,111,44,0
"KS15",58200,"07-15-2015","KNE",21,35.52,27179.8,1859.97,3.58,80,0,0,8,401,107,99,460,30,0
"KS15",58200,"07-16-2015","KNE",17,26.14,11309.8,990.00,0,0,0,0,0,0,0,0,0,0,0
"KS15",58200,"07-19-2015","KSH",7,11.68,5359.6,269.98,0.83,0,0,0,0,38,10,10,0,1,0
"KS15",58200,"07-20-2015","KSH",25,41.58,17150.7,1410.00,3.32,1,0,0,1,279,71,70,0,40,0
"KS15",58200,"07-21-2015","KSH",23,38.41,17053.4,1560.00,4.15,20,0,1,1,453,108,114,93,46,0
"KS15",58200,"07-22-2015","KSH",24,39.91,20025.3,1559.99,4.15,10,0,0,0,452,86,85,52,53,0
"KS15",58200,"07-23-2015","KSH",24,39.74,19099.7,1860.02,4.15,2,0,1,2,716,135,92,101,43,0
"KS15",58200,"07-24-2015","KSH",24,40.08,18173.9,1740.02,4.15,15,0,2,1,483,120,105,0,38,0
"KS15",58200,"07-25-2015","KSH",26,43.08,16176.3,1350.01,4.15,5,0,0,0,340,76,78,0,48,0
"KS15",58200,"07-26-2015","KSH",22,35.38,14032.3,1410.00,3.91,8,0,0,0,522,127,51,32,24,0
"KS15",58200,"07-27-2015","KSH",25,39.03,14129.7,1290.02,3.91,11,0,0,1,290,60,43,19,30,0
"KS15",58200,"07-28-2015","KSH",23,35.69,12717.0,1139.96,3.67,5,0,0,0,398,92,69,0,44,0
"KS15",58200,"07-29-2015","KSH",26,39.34,15640.0,1469.94,3.67,10,0,0,3,635,139,102,40,33,0
"KS15",58200,"07-30-2015","KSH",26,39.17,16273.6,1530.00,3.51,21,0,0,0,546,122,96,81,37,0
"KS15",58200,"07-31-2015","KNE",7,12.67,4788.5,269.99,1.83,71,0,0,1,215,50,31,0,63,0
"KS15",58200,"07-31-2015","KSH",4,7.33,1169.3,60.00,0.92,2,0,0,1,16,8,9,0,2,0
"KS15",58200,"08-01-2015","KNE",22,38.83,20111.6,1649.98,4.00,99,0,0,7,737,177,94,79,66,0
"KS15",58200,"08-02-2015","KNE",22,39.82,21525.1,1830.03,4.51,110,0,0,24,490,114,78,234,61,0
"KS15",58200,"08-03-2015","KNE",21,39.00,25218.9,2310.00,4.92,241,0,0,18,648,153,90,491,114,0
"KS15",58200,"11-15-2015","KSW",22,36.73,16687.3,1200.01,4.15,128,0,0,1,16,5,50,0,8,0
"KS15",58200,"11-16-2015","KSW",16,25.88,15966.2,1020.00,0.83,81,0,0,0,48,15,28,0,5,0
"KS15",58200,"11-21-2015","KSW",7,11.52,5867.1,480.00,0,0,0,0,0,0,0,0,0,0,0
"KS15",58200,"11-22-2015","KSW",24,39.57,16543.5,1470.04,4.15,237,0,0,0,55,21,66,0,12,0
"KS15",58200,"11-23-2015","KSW",17,27.69,11830.2,930.01,0.92,29,0,0,0,19,6,15,0,2,0
"KS15",58200,"11-24-2015","KSW",2,3.17,1250.4,30.00,0,0,0,0,0,0,0,0,0,0,0
"KS15",58200,"11-25-2015","KSW",24,40.04,18995.9,1379.99,1.92,76,0,0,0,26,5,28,0,7,0
"KS15",58200,"11-26-2015","KSW",22,37.49,24718.8,1590.00,2.67,232,0,0,1,135,32,53,0,17,0
"KS15",58200,"11-27-2015","KSW",24,39.72,19909.6,1559.98,4.16,235,0,0,0,78,33,75,0,20,0
