Sort,YEAR,PROJECT_CODE,SURVEY_AREA,BED,STATION_ID,STATION_TYPE,DATE_SET,VESSEL_NAME,SPECIES_CODE,SEX_CODE,CONDITION_CODE,SCAL_SIZE_CLASS,SHELL_HEIGHT_MM,SCALLOP_MATURITY_CODE,SCAL_GONAD_COND,AGE_STRUCTURE_COLLECTED,AGE_STRUCTURE_TYPE_CODE,WEIGHT_KG,MEAT_WEIGHT_GRAMS,EPIBIONT_WEIGHT_GRAMS,MUD_BLISTER_CODE,OTHER_WORM_CODE,MEAT_CONDITION,D1,D2,D3,SAMPLER,FIRST_ANNULUS_FIELD,FIELD_AGE,FIELD_AGER,AGE_ESTIMATED,Event_ID,Scallop_Number,Age 1,Age 1 First Ann,Age 1 Readability,Age 1 Cmts,Ager 1,Age 1 Date,Age 2,Age 2 First Ann,Age 2 Readability,Age 2 Cmts,Ager 2,Age 2 Date,QC_Comments,Need_Resolving,Resolved_Age,Resolved_Age_QC,Date_Resolved,Released_Age
1,2016,D02,Kayak Scallop Dredge,West,G 34,Standard,4/14/2016 0:00,Solstice,850,9,1,1,104,,0,1,TopShell,0.08,7,,0,0,G,B,,,MDS,21,3,MDS,,2016D02001,1,5,21,9,definitly 4 but can see some banding,Andy Pollak,12/12/2017 0:00,5,18,2,,Joe Loboy,12/7/2017 0:00,,,,,,5
2,2016,D02,Kayak Scallop Dredge,West,G 34,Standard,4/14/2016 0:00,Solstice,850,2,1,1,103,,3,1,TopShell,0.09,9,,0,0,G,A,,,MDS,22,3,MDS,,2016D02001,2,4,21,9,,Andy Pollak,12/12/2017 0:00,4,19,2,,Joe Loboy,12/7/2017 0:00,,,,,,4
3,2016,D02,Kayak Scallop Dredge,West,G 34,Standard,4/14/2016 0:00,Solstice,850,1,1,1,136,,3,1,TopShell,0.15,17,,0,0,G,A,,,MDS,24,6,MDS,,2016D02001,3,13,21,9,12,Andy Pollak,12/12/2017 0:00,13,20,2,,Joe Loboy,12/7/2017 0:00,,,,,,13
4,2016,D02,Kayak Scallop Dredge,West,G 34,Standard,4/14/2016 0:00,Solstice,850,1,1,1,127,,3,1,TopShell,0.15,13,,0,0,G,A,,,MDS,20,6,MDS,,2016D02001,4,7,19,9,6,Andy Pollak,12/12/2017 0:00,7,18,2,,Joe Loboy,12/7/2017 0:00,,,,,,7
5,2016,D02,Kayak Scallop Dredge,West,G 34,Standard,4/14/2016 0:00,Solstice,850,1,1,1,134,,3,1,TopShell,0.18,20,,0,0,G,B,,,MDS,22,9,MDS,,2016D02001,5,7,23,9,6?,Andy Pollak,12/12/2017 0:00,7,26,2,,Joe Loboy,12/7/2017 0:00,,,,,,7
6,2016,D02,Kayak Scallop Dredge,West,G 34,Standard,4/14/2016 0:00,Solstice,850,2,1,1,119,,3,1,TopShell,0.15,16,,0,0,G,A,,,MDS,24,6,MDS,,2016D02001,6,7,19,9,,Andy Pollak,12/12/2017 0:00,7,20,2,,Joe Loboy,12/7/2017 0:00,,,,,,7
7,2016,D02,Kayak Scallop Dredge,West,G 34,Standard,4/14/2016 0:00,Solstice,850,1,1,1,105,,3,1,TopShell,0.11,13,,0,0,G,A,,,MDS,22,4,MDS,,2016D02001,7,4,21,9,,Andy Pollak,12/12/2017 0:00,4,17,2,,Joe Loboy,12/7/2017 0:00,,,,,,4
8,2016,D02,Kayak Scallop Dredge,West,G 34,Standard,4/14/2016 0:00,Solstice,850,1,1,1,133,,0,1,TopShell,0.19,19,14,0,0,G,B,,,MDS,30,10,MDS,,2016D02001,8,10,29,9,on left ear,Andy Pollak,12/12/2017 0:00,10,29,3,,Joe Loboy,12/7/2017 0:00,,,,,,10
9,2016,D02,Kayak Scallop Dredge,West,G 34,Standard,4/14/2016 0:00,Solstice,850,1,1,1,124,,3,1,TopShell,0.14,17,,0,0,G,A,,,MDS,34,5,MDS,,2016D02001,9,7,16,9,,Andy Pollak,12/12/2017 0:00,7,15,2,,Joe Loboy,12/7/2017 0:00,,,,,,7
10,2016,D02,Kayak Scallop Dredge,West,G 34,Standard,4/14/2016 0:00,Solstice,850,1,1,1,129,,3,1,TopShell,0.16,17,8,0,0,G,A,,,MDS,28,9,MDS,,2016D02001,10,11,25,9,10. tough 1st-3yrs and edge,Andy Pollak,12/12/2017 0:00,13,14,3,,Joe Loboy,12/7/2017 0:00,,,,,,11
11,2016,D02,Kayak Scallop Dredge,West,G 34,Standard,4/14/2016 0:00,Solstice,850,9,1,2,35,,0,1,TopShell,,,,0,0,G,A,,,MDS,35,1,MDS,,2016D02001,11,1,26,9,,Andy Pollak,12/12/2017 0:00,2,14,2,,Joe Loboy,12/7/2017 0:00,,,,,,1
