Survey,Tow,Haul_Date,Station,Waters,tdist,tsect,tsub_sect,spec_area,Start_Lat,Start_Lon,End_Lat,End_Lon,Depth_Avg(fm),Bottom_Temp(c),Distance(km),RACE_code,Species_Name,Samp_grp,Sex,Whole_Haul,Measured_cnt,Measured_wt(kg),Unmeasured_cnt,Unmeasured_wt(kg),Countovers,Final_wt(kg),Final_cnt
"CRAB1991",91010001,"06-18-1991","KZG","I",1,1,2,1,57.9412,-152.6238,,,72,,1.852,10110,"arrowtooth flounder",0,0,"",26,0,0,0,0,635.943,26
"CRAB1991",91010001,"06-18-1991","KZG","I",1,1,2,1,57.9412,-152.6238,,,72,,1.852,10120,"Pacific halibut",0,0,"",1,0,0,0,0,2.26799,1
"CRAB1991",91010001,"06-18-1991","KZG","I",1,1,2,1,57.9412,-152.6238,,,72,,1.852,10130,"flathead sole",0,0,"",40,0,0,0,0,176.903,40
"CRAB1991",91010001,"06-18-1991","KZG","I",1,1,2,1,57.9412,-152.6238,,,72,,1.852,21300,"sculpin unident.",0,0,"",0,0,0,0,0,106.142,0
"CRAB1991",91010001,"06-18-1991","KZG","I",1,1,2,1,57.9412,-152.6238,,,72,,1.852,21720,"Pacific cod",0,0,"",14,0,0,0,0,30.8446,14
"CRAB1991",91010001,"06-18-1991","KZG","I",1,1,2,1,57.9412,-152.6238,,,72,,1.852,21740,"walleye pollock",0,0,"",30,0,0,0,0,106.142,30
"CRAB1991",91010001,"06-18-1991","KZG","I",1,1,2,1,57.9412,-152.6238,,,72,,1.852,23792,"giant wrymouth",0,0,"",0,0,0,0,0,11.7935,0
"CRAB1991",91010001,"06-18-1991","KZG","I",1,1,2,1,57.9412,-152.6238,,,72,,1.852,30050,"rougheye rockfish",0,0,"",1,0,0,0,0,1.36079,1
"CRAB1991",91010001,"06-18-1991","KZG","I",1,1,2,1,57.9412,-152.6238,,,72,,1.852,66000,"shrimp unident.",0,0,"",0,0,0,0,0,0.907194,0
"CRAB1991",91010001,"06-18-1991","KZG","I",1,1,2,1,57.9412,-152.6238,,,72,,1.852,68560,"Tanner crab",0,0,"",156,0,0,0,0,44.4525,156
"CRAB1991",91010001,"06-18-1991","KZG","I",1,1,2,1,57.9412,-152.6238,,,72,,1.852,69010,"hermit crab unident.",0,0,"",0,0,0,0,0,14.0615,0
"CRAB1991",91010001,"06-18-1991","KZG","I",1,1,2,1,57.9412,-152.6238,,,72,,1.852,80000,"starfish unident.",0,0,"",0,0,0,0,0,56.6996,0
"CRAB1991",91010002,"06-18-1991","KZK","I",1,1,2,1,57.9683,-152.5783,,,95,,1.852,400,"skate unident.",0,0,"",0,0,0,0,0,27.6694,0
