Survey,Tow,Haul_Date,Station,Waters,tdist,tsect,tsub_sect,spec_area,Start_Lat,Start_Lon,End_Lat,End_Lon,Depth_Avg(fm),Bottom_Temp(c),Distance(km),RACE_code,Species_Name,Samp_grp,Sex,Whole_Haul,Measured_cnt,Measured_wt(kg),Unmeasured_cnt,Unmeasured_wt(kg),Countovers,Final_wt(kg),Final_cnt
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,435,"Bering skate",0,2,"Y",1,2.92861,0,0,0,2.92861,1
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,440,"longnose skate",0,2,"Y",1,14.7514,0,0,0,14.7514,1
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,10110,"arrowtooth flounder",0,0,"N",24,5.05,0,4.7,0,66.7082,317
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,10120,"Pacific halibut",0,0,"Y",6,26.3732,0,0,0,26.3732,6
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,10130,"flathead sole",0,0,"N",29,7.1,0,10.45,0,120.075,490
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,10180,"Dover sole",0,0,"N",7,2.7,0,0,0,18.473,48
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,10200,"rex sole",0,0,"N",9,1.9,0,0,0,12.9995,62
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,10210,"yellowfin sole",0,0,"N",2,1.25,0,0,0,8.55233,14
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,10261,"northern rock sole",0,0,"N",5,2.6,0,0,0,17.7888,34
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,10262,"southern rock sole",0,0,"N",1,0.7,0,0,0,4.7893,7
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,20040,"sturgeon poacher",0,0,"N",0,0,6,0.35,0,2.39465,41
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,21347,"yellow Irish lord",0,0,"N",0,0,0,13.95,0,95.444,0
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,21370,"great sculpin",0,0,"N",0,0,3,4.85,0,33.183,21
"CRAB2009",9010001,"06-16-2009","CHJ","I",1,1,1,1,57.7312,-152.3800,57.7238,-152.3517,60,5.09000015,1.852,21720,"Pacific cod",0,0,"Y",19,35.3,0,0,0,35.3,19
