Survey,Tow,Haul_Date,Station,Waters,tdist,tsect,tsub_sect,spec_area,Start_Lat,Start_Lon,End_Lat,End_Lon,Depth_Avg(fm),Bottom_Temp(c),Distance(km),RACE_code,Species_Name,Samp_grp,Sex,Whole_Haul,Measured_cnt,Measured_wt(kg),Unmeasured_cnt,Unmeasured_wt(kg),Countovers,Final_wt(kg),Final_cnt
"CRAB1998",98010001,"06-17-1998","CHJ","I",1,1,1,1,57.7293,-152.3813,,,52,6.5,1.852,405,"Bathyraja sp.",0,0,"Y",1,,0,0,0,3.81,1
"CRAB1998",98010001,"06-17-1998","CHJ","I",1,1,1,1,57.7293,-152.3813,,,52,6.5,1.852,440,"longnose skate",0,0,"Y",4,,0,0,0,37.35,4
"CRAB1998",98010001,"06-17-1998","CHJ","I",1,1,1,1,57.7293,-152.3813,,,52,6.5,1.852,10110,"arrowtooth flounder",0,0,"N",0,0,186,78.7,0,370.27,875
"CRAB1998",98010001,"06-17-1998","CHJ","I",1,1,1,1,57.7293,-152.3813,,,52,6.5,1.852,10120,"Pacific halibut",0,0,"Y",2,,0,0,0,16.49,2
"CRAB1998",98010001,"06-17-1998","CHJ","I",1,1,1,1,57.7293,-152.3813,,,52,6.5,1.852,10130,"flathead sole",0,0,"N",0,0,172,43.1,0,202.78,809
"CRAB1998",98010001,"06-17-1998","CHJ","I",1,1,1,1,57.7293,-152.3813,,,52,6.5,1.852,10180,"Dover sole",0,0,"N",0,0,21,6.4,0,30.11,99
"CRAB1998",98010001,"06-17-1998","CHJ","I",1,1,1,1,57.7293,-152.3813,,,52,6.5,1.852,10210,"yellowfin sole",0,0,"N",0,0,85,46.4,0,218.3,400
"CRAB1998",98010001,"06-17-1998","CHJ","I",1,1,1,1,57.7293,-152.3813,,,52,6.5,1.852,10260,"rock sole unident.",0,0,"N",0,0,173,72.3,0,340.16,814
"CRAB1998",98010001,"06-17-1998","CHJ","I",1,1,1,1,57.7293,-152.3813,,,52,6.5,1.852,20040,"sturgeon poacher",0,0,"N",0,0,0,4.9,0,23.05,0
"CRAB1998",98010001,"06-17-1998","CHJ","I",1,1,1,1,57.7293,-152.3813,,,52,6.5,1.852,20510,"sablefish (or black cod)",0,0,"Y",0,0,5,0,0,3.5,5
"CRAB1998",98010001,"06-17-1998","CHJ","I",1,1,1,1,57.7293,-152.3813,,,52,6.5,1.852,21347,"yellow Irish lord",0,0,"N",0,0,0,27.5,0,129.38,0
"CRAB1998",98010001,"06-17-1998","CHJ","I",1,1,1,1,57.7293,-152.3813,,,52,6.5,1.852,21370,"great sculpin",0,0,"N",0,0,1,0.4,0,1.88,5
