Survey,Tow,Haul_Date,Station,Waters,tdist,tsect,tsub_sect,spec_area,Start_Lat,Start_Lon,End_Lat,End_Lon,Depth_Avg(fm),Bottom_Temp(c),Distance(km),RACE_code,Species_Name,Samp_grp,Sex,Whole_Haul,Measured_cnt,Measured_wt(kg),Unmeasured_cnt,Unmeasured_wt(kg),Countovers,Final_wt(kg),Final_cnt
"CRAB2016",16010001,"06-09-2016","CHJ","I",1,1,1,1,57.7270,-152.3758,57.7188,-152.3522,52,7.80999994,1.667,420,"big skate",0,2,"Y",1,9.1342,0,0,0,9.1342,1
"CRAB2016",16010001,"06-09-2016","CHJ","I",1,1,1,1,57.7270,-152.3758,57.7188,-152.3522,52,7.80999994,1.667,435,"Bering skate",0,2,"Y",2,4.73316,0,0,0,4.73316,2
"CRAB2016",16010001,"06-09-2016","CHJ","I",1,1,1,1,57.7270,-152.3758,57.7188,-152.3522,52,7.80999994,1.667,440,"longnose skate",0,2,"Y",1,8.9055,0,0,0,8.9055,1
"CRAB2016",16010001,"06-09-2016","CHJ","I",1,1,1,1,57.7270,-152.3758,57.7188,-152.3522,52,7.80999994,1.667,10110,"arrowtooth flounder",0,0,"N",22,5.78,0,3.94,0,64.7657,247
"CRAB2016",16010001,"06-09-2016","CHJ","I",1,1,1,1,57.7270,-152.3758,57.7188,-152.3522,52,7.80999994,1.667,10120,"Pacific halibut",0,0,"Y",12,66.1709,0,0,0,66.1709,12
"CRAB2016",16010001,"06-09-2016","CHJ","I",1,1,1,1,57.7270,-152.3758,57.7188,-152.3522,52,7.80999994,1.667,10130,"flathead sole",0,0,"N",28,7.83,0,23,0,205.424,735
"CRAB2016",16010001,"06-09-2016","CHJ","I",1,1,1,1,57.7270,-152.3758,57.7188,-152.3522,52,7.80999994,1.667,10200,"rex sole",0,0,"N",1,0.02,0,0,0,0.133263,7
"CRAB2016",16010001,"06-09-2016","CHJ","I",1,1,1,1,57.7270,-152.3758,57.7188,-152.3522,52,7.80999994,1.667,10210,"yellowfin sole",0,0,"N",17,9.59,0,0,0,63.8995,113
"CRAB2016",16010001,"06-09-2016","CHJ","I",1,1,1,1,57.7270,-152.3758,57.7188,-152.3522,52,7.80999994,1.667,10261,"northern rock sole",0,0,"N",16,9.85,0,0,0,65.6319,107
"CRAB2016",16010001,"06-09-2016","CHJ","I",1,1,1,1,57.7270,-152.3758,57.7188,-152.3522,52,7.80999994,1.667,20040,"sturgeon poacher",0,0,"N",0,0,0,1.43,0,9.52828,0
