Survey,Tow,Haul_Date,Station,Waters,tdist,tsect,tsub_sect,spec_area,Start_Lat,Start_Lon,End_Lat,End_Lon,Depth_Avg(fm),Bottom_Temp(c),Distance(km),RACE_code,Species_Name,Samp_grp,Sex,Whole_Haul,Measured_cnt,Measured_wt(kg),Unmeasured_cnt,Unmeasured_wt(kg),Countovers,Final_wt(kg),Final_cnt
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,420,"big skate",0,1,"Y",1,3.1613,0,0,0,3.1613,1
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,420,"big skate",0,2,"Y",8,31.6294,0,0,0,31.6294,8
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,435,"Bering skate",0,1,"Y",4,8.2995,0,0,0,8.2995,4
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,440,"longnose skate",0,1,"Y",1,1.2121,0,0,0,1.2121,1
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,10110,"arrowtooth flounder",0,0,"N",32,11.2700,0,0,0,115.7105,329
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,10120,"Pacific halibut",0,0,"Y",11,34.2199,0,0,0,34.2199,11
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,10130,"flathead sole",0,0,"N",35,8.4000,0,69.56,0,800.4251,3335
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,10170,"English sole",0,0,"N",1,0.2400,0,0,0,2.4641,10
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,10200,"rex sole",0,0,"N",3,0.0900,0,0,0,0.9240,31
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,10210,"yellowfin sole",0,0,"N",24,19.4800,0,0,0,200.0036,246
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,10220,"starry flounder",0,0,"N",30,46.6300,0,0,0,478.7561,308
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,10270,"butter sole",0,0,"N",1,0.4000,0,0,0,4.1069,10
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,10285,"Alaska plaice",0,0,"N",2,1.4400,0,0,0,14.7847,21
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,20040,"sturgeon poacher",0,0,"N",0,0.0000,3,0.12,0,1.2321,31
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,21371,"plain sculpin",0,0,"N",0,0.0000,4,4.36,0,44.7647,41
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,21390,"spinyhead sculpin",0,0,"N",0,0.0000,1,0.16,0,1.6427,10
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,21720,"Pacific cod",0,0,"Y",15,40.5200,0,0,0,40.5200,15
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,21740,"walleye pollock",0,0,"Y",17,19.0600,0,0,0,19.0600,17
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,43000,"sea anemone unident.",0,0,"N",0,0.0000,14,2.3,0,23.6144,144
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,66031,"pink shrimp (or northern shrimp)",0,0,"N",0,0.0000,0,0.32,0,3.2855,0
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,66502,"Crangon sp.",0,0,"N",0,0.0000,4,0.008,0,0.0821,41
"CRAB2017",17010001,"06-08-2017","CHB","I",1,1,1,1,57.6512,-152.3893,57.6635,-152.3683,51,5.45120811,1.852,68560,"Tanner crab",0,1,"Y",22,0.8500,0,0,0,0.8500,22
