Fishery,District,RACE_Code,Sex,Size_Grp,Sampfrac_Num_Crab
DS16,YAK,68560,1,12,2
DS16,YAK,68560,1,14,1
DS16,YAK,68560,1,15,1
DS16,YAK,68560,1,15,2
DS16,YAK,68560,1,19,3
DS16,YAK,68560,1,19,1
DS16,YAK,68560,1,20,2
DS16,YAK,68560,1,20,2
DS16,YAK,68560,1,21,4
DS16,YAK,68560,1,21,4
DS16,YAK,68560,1,22,1
DS16,YAK,68560,1,23,1
DS16,YAK,68560,1,23,2
DS16,YAK,68560,1,23,2
DS16,YAK,68560,1,24,2
DS16,YAK,68560,1,26,2
DS16,YAK,68560,1,26,1
DS16,YAK,68560,1,26,1
DS16,YAK,68560,1,27,2
DS16,YAK,68560,1,27,1
DS16,YAK,68560,1,29,2
DS16,YAK,68560,1,31,3.5
DS16,YAK,68560,1,32,4
DS16,YAK,68560,1,35,1
DS16,YAK,68560,1,39,1
DS16,YAK,68560,2,15,4
DS16,YAK,68560,2,16,1
DS16,YAK,68560,2,21,3.5
DS16,YAK,68560,2,22,1
DS16,YAK,68560,2,22,1
DS16,YAK,68560,2,23,1
DS16,YAK,68560,2,24,1
DS16,YAK,68560,2,24,2
DS16,YAK,68560,2,28,1
DS16,YAK,68560,2,29,1
DS16,YAK,68560,2,30,1
DS16,YAK,68560,2,31,4
DS16,YAK,68560,2,33,2
DS16,YAK,68560,2,47,1
DS16,YAK,68560,2,50,1
DS16,YAK,68560,2,135,1
ES16,WKI,68560,1,14,1
ES16,WKI,68560,1,15,1
ES16,WKI,68560,1,16,1
ES16,WKI,68560,1,22,2
ES16,WKI,68560,1,24,1
ES16,WKI,68560,2,16,1
ES16,WKI,68560,2,17,1
ES16,WKI,68560,2,21,1
ES16,WKI,68560,2,21,2
ES16,WKI,68560,2,21,1
ES16,WKI,68560,2,26,2
KS16,KNE,68560,1,12,1
KS16,KNE,68560,1,12,1
KS16,KNE,68560,1,12,1
KS16,KNE,68560,1,13,1.2
KS16,KNE,68560,1,16,1
KS16,KNE,68560,1,16,1
KS16,KNE,68560,1,17,1
KS16,KNE,68560,1,17,1.2
KS16,KNE,68560,1,18,1
KS16,KNE,68560,1,21,1.2
KS16,KNE,68560,1,21,1.2
KS16,KNE,68560,1,22,1.9
KS16,KNE,68560,1,22,1
KS16,KNE,68560,1,22,1
KS16,KNE,68560,1,23,1.9
KS16,KNE,68560,1,23,6.7
KS16,KNE,68560,1,23,1
KS16,KNE,68560,1,23,1.8
KS16,KNE,68560,1,24,1.2
KS16,KNE,68560,1,24,1
KS16,KNE,68560,1,24,1
KS16,KNE,68560,1,25,1.4
KS16,KNE,68560,1,25,1
KS16,KNE,68560,1,26,1
KS16,KNE,68560,1,27,3
KS16,KNE,68560,1,27,1
KS16,KNE,68560,1,29,3
KS16,KNE,68560,1,30,1.9
KS16,KNE,68560,1,31,1.8
KS16,KNE,68560,1,31,1
KS16,KNE,68560,1,32,1
KS16,KNE,68560,1,32,1
KS16,KNE,68560,1,32,1.4
KS16,KNE,68560,1,33,1.4
KS16,KNE,68560,1,34,6.7
KS16,KNE,68560,1,35,1
KS16,KNE,68560,1,35,1
KS16,KNE,68560,1,38,1
KS16,KNE,68560,1,39,6.7
KS16,KNE,68560,1,40,1.4
KS16,KNE,68560,1,41,6.7
KS16,KNE,68560,1,42,1
KS16,KNE,68560,1,44,1
KS16,KNE,68560,1,45,1.9
KS16,KNE,68560,1,45,7.1
KS16,KNE,68560,1,46,2.6
KS16,KNE,68560,1,46,2.6
KS16,KNE,68560,1,47,1
KS16,KNE,68560,1,48,1.6
KS16,KNE,68560,1,48,1.6
KS16,KNE,68560,1,48,1
KS16,KNE,68560,1,49,3
KS16,KNE,68560,1,51,1.8
KS16,KNE,68560,1,53,1.6
KS16,KNE,68560,1,54,2.6
KS16,KNE,68560,1,55,1.9
KS16,KNE,68560,1,56,7.1
KS16,KNE,68560,1,58,1
KS16,KNE,68560,1,58,3
KS16,KNE,68560,1,58,1.5
KS16,KNE,68560,1,59,1
KS16,KNE,68560,1,61,3
KS16,KNE,68560,1,62,1.5
KS16,KNE,68560,1,62,7.1
KS16,KNE,68560,1,62,1.6
KS16,KNE,68560,1,63,1.5
KS16,KNE,68560,1,63,1.8
KS16,KNE,68560,1,64,5.9
KS16,KNE,68560,1,65,1.8
KS16,KNE,68560,1,65,2.6
KS16,KNE,68560,1,66,1.6
KS16,KNE,68560,1,66,1.6
KS16,KNE,68560,1,66,1.2
KS16,KNE,68560,1,67,1.8
KS16,KNE,68560,1,68,1
KS16,KNE,68560,1,68,5.9
KS16,KNE,68560,1,69,1
KS16,KNE,68560,1,71,1
KS16,KNE,68560,1,71,7.1
KS16,KNE,68560,1,72,1
KS16,KNE,68560,1,72,1
KS16,KNE,68560,1,72,1
KS16,KNE,68560,1,73,3.4
KS16,KNE,68560,1,73,1.8
KS16,KNE,68560,1,74,3
KS16,KNE,68560,1,74,1
KS16,KNE,68560,1,75,3
KS16,KNE,68560,1,75,1.6
KS16,KNE,68560,1,77,1
KS16,KNE,68560,1,78,1
KS16,KNE,68560,1,78,1.2
KS16,KNE,68560,1,79,1.2
KS16,KNE,68560,1,79,1
KS16,KNE,68560,1,80,1.2
KS16,KNE,68560,1,81,7.8
KS16,KNE,68560,1,81,1.3
KS16,KNE,68560,1,81,1.7
KS16,KNE,68560,1,82,1
KS16,KNE,68560,1,82,1.3
KS16,KNE,68560,1,82,1.2
KS16,KNE,68560,1,83,1.7
KS16,KNE,68560,1,83,5.9
KS16,KNE,68560,1,84,1.5
KS16,KNE,68560,1,84,1
KS16,KNE,68560,1,84,1.7
KS16,KNE,68560,1,85,1.2
KS16,KNE,68560,1,85,1.5
KS16,KNE,68560,1,85,1.2
KS16,KNE,68560,1,85,1.8
KS16,KNE,68560,1,85,1
KS16,KNE,68560,1,85,1
KS16,KNE,68560,1,85,1
KS16,KNE,68560,1,86,1.7
KS16,KNE,68560,1,86,5.9
KS16,KNE,68560,1,87,3
KS16,KNE,68560,1,87,1
KS16,KNE,68560,1,87,1
KS16,KNE,68560,1,88,1
KS16,KNE,68560,1,88,1
KS16,KNE,68560,1,89,1.2
KS16,KNE,68560,1,89,1.7
KS16,KNE,68560,1,90,1
KS16,KNE,68560,1,90,1.2
KS16,KNE,68560,1,90,3.4
KS16,KNE,68560,1,91,1.6
KS16,KNE,68560,1,91,1.5
KS16,KNE,68560,1,91,1.6
KS16,KNE,68560,1,92,1.2
KS16,KNE,68560,1,92,1
KS16,KNE,68560,1,92,7.8
KS16,KNE,68560,1,92,1
KS16,KNE,68560,1,93,2.6
KS16,KNE,68560,1,93,1.5
KS16,KNE,68560,1,93,7.8
KS16,KNE,68560,1,94,1.2
KS16,KNE,68560,1,94,1
KS16,KNE,68560,1,95,1.8
KS16,KNE,68560,1,95,1.6
KS16,KNE,68560,1,97,1
KS16,KNE,68560,1,97,3.4
KS16,KNE,68560,1,97,1
KS16,KNE,68560,1,98,1
KS16,KNE,68560,1,98,1.2
KS16,KNE,68560,1,99,1.2
KS16,KNE,68560,1,99,1.6
KS16,KNE,68560,1,99,1
KS16,KNE,68560,1,100,1.6
KS16,KNE,68560,1,101,1
KS16,KNE,68560,1,102,1.6
KS16,KNE,68560,1,102,1
KS16,KNE,68560,1,102,1
KS16,KNE,68560,1,103,1
KS16,KNE,68560,1,103,5.9
KS16,KNE,68560,1,103,1
KS16,KNE,68560,1,105,5.9
KS16,KNE,68560,1,105,1
KS16,KNE,68560,1,105,1.1
KS16,KNE,68560,1,105,1
KS16,KNE,68560,1,106,1.1
KS16,KNE,68560,1,106,7.8
KS16,KNE,68560,1,107,1.2
KS16,KNE,68560,1,107,1.6
KS16,KNE,68560,1,108,1.1
KS16,KNE,68560,1,113,1
KS16,KNE,68560,1,114,1.5
KS16,KNE,68560,1,120,1.1
KS16,KNE,68560,1,121,1.2
KS16,KNE,68560,1,126,1
KS16,KNE,68560,1,132,2.6
KS16,KNE,68560,1,134,1
KS16,KNE,68560,1,141,1
KS16,KNE,68560,1,142,2.6
KS16,KNE,68560,1,148,1
KS16,KNE,68560,1,151,1.6
