Fishery,District,RACE_Code,Sex,Size_Grp,Sampfrac_Num_Crab
DS10,D16,68560,1,23,1
DS10,D16,68560,1,51,1
DS10,D16,68560,2,18,1
DS10,D16,68560,2,18,1
DS10,D16,68560,2,27,1
DS10,D16,68560,2,37,1
DS10,D16,68560,2,39,1
DS10,D16,68560,2,41,1
DS10,D16,68560,2,44,1
DS10,YAK,68560,1,9,5.7
DS10,YAK,68560,1,10,1
DS10,YAK,68560,1,10,1
DS10,YAK,68560,1,10,4.1
DS10,YAK,68560,1,10,1.2
DS10,YAK,68560,1,10,1
DS10,YAK,68560,1,10,1
DS10,YAK,68560,1,10,5.7
DS10,YAK,68560,1,10,1
DS10,YAK,68560,1,10,1
DS10,YAK,68560,1,10,2.3
DS10,YAK,68560,1,10,1
DS10,YAK,68560,1,10,2.1
DS10,YAK,68560,1,10,2.3
DS10,YAK,68560,1,10,1
DS10,YAK,68560,1,10,2.3
DS10,YAK,68560,1,11,1
DS10,YAK,68560,1,11,2.3
DS10,YAK,68560,1,11,4.1
DS10,YAK,68560,1,11,4.1
DS10,YAK,68560,1,11,1.2
DS10,YAK,68560,1,11,1.2
DS10,YAK,68560,1,11,1.2
DS10,YAK,68560,1,11,1.2
DS10,YAK,68560,1,11,1
DS10,YAK,68560,1,11,1.1
DS10,YAK,68560,1,11,1
DS10,YAK,68560,1,11,5.8
DS10,YAK,68560,1,11,5.8
DS10,YAK,68560,1,11,1
DS10,YAK,68560,1,11,1.5
DS10,YAK,68560,1,11,1
DS10,YAK,68560,1,11,1
DS10,YAK,68560,1,11,1
DS10,YAK,68560,1,11,1
DS10,YAK,68560,1,11,1
DS10,YAK,68560,1,11,1
DS10,YAK,68560,1,11,1
DS10,YAK,68560,1,11,2.4
DS10,YAK,68560,1,11,2.2
DS10,YAK,68560,1,11,2.4
DS10,YAK,68560,1,12,1.2
DS10,YAK,68560,1,13,1
DS10,YAK,68560,1,13,2.4
DS10,YAK,68560,1,13,2.2
DS10,YAK,68560,1,13,1
DS10,YAK,68560,1,13,1
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,1.1
DS10,YAK,68560,1,14,2.1
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,2.1
DS10,YAK,68560,1,14,2.1
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,3.4
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,2.3
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,3.1
DS10,YAK,68560,1,14,3.4
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,1.7
DS10,YAK,68560,1,14,3.6
DS10,YAK,68560,1,14,3.6
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,1.5
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,4.6
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,2.3
DS10,YAK,68560,1,14,1.2
DS10,YAK,68560,1,14,1.5
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,14,1.7
DS10,YAK,68560,1,14,2.2
DS10,YAK,68560,1,14,2.9
DS10,YAK,68560,1,14,1
DS10,YAK,68560,1,15,4.5
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,1.5
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,2.2
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,1.7
DS10,YAK,68560,1,15,3.6
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,2.2
DS10,YAK,68560,1,15,2.2
DS10,YAK,68560,1,15,2.2
DS10,YAK,68560,1,15,6.3
DS10,YAK,68560,1,15,6.3
DS10,YAK,68560,1,15,6.3
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,2.3
DS10,YAK,68560,1,15,2.3
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,2.1
DS10,YAK,68560,1,15,2.1
DS10,YAK,68560,1,15,2.1
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,2.1
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,1
DS10,YAK,68560,1,15,2.1
DS10,YAK,68560,1,15,2.1
DS10,YAK,68560,1,15,1.5
DS10,YAK,68560,1,16,1
DS10,YAK,68560,1,16,1
DS10,YAK,68560,1,16,1
DS10,YAK,68560,1,16,2.4
DS10,YAK,68560,1,16,1
DS10,YAK,68560,1,16,1
DS10,YAK,68560,1,16,1
DS10,YAK,68560,1,16,1.5
DS10,YAK,68560,1,16,1.5
DS10,YAK,68560,1,16,1.4
DS10,YAK,68560,1,16,1.7
DS10,YAK,68560,1,16,1.4
DS10,YAK,68560,1,16,1
DS10,YAK,68560,1,16,1.3
DS10,YAK,68560,1,16,1.5
DS10,YAK,68560,1,16,1
DS10,YAK,68560,1,16,2.4
DS10,YAK,68560,1,16,1.3
DS10,YAK,68560,1,16,1.5
DS10,YAK,68560,1,16,1
DS10,YAK,68560,1,16,1
DS10,YAK,68560,1,16,1.4
DS10,YAK,68560,1,17,1.4
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1.2
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,5.8
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,5.8
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,2.1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,2
DS10,YAK,68560,1,17,1.1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1.5
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1.2
DS10,YAK,68560,1,17,2
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,17,1
DS10,YAK,68560,1,18,1
DS10,YAK,68560,1,18,1
