Fishery,District,RACE_Code,Sex,Size_Grp,Int_Num_Crab,Sampfrac_Num_Crab
"DS19","D",68560,1,14,1.0,1.0
"DS19","D",68560,1,14,1.0,1.0
"DS19","D",68560,1,14,1.0,1.0
"DS19","D",68560,1,15,1.0,1.0
"DS19","D",68560,1,15,1.0,1.0
"DS19","D",68560,1,15,1.0,1.0
"DS19","D",68560,1,18,1.0,1.0
"DS19","D",68560,1,20,1.0,1.0
"DS19","D",68560,1,21,1.0,1.0
"DS19","D",68560,1,22,1.0,1.0
"DS19","D",68560,1,32,1.0,1.0
"DS19","D",68560,2,13,1.0,1.0
"DS19","D",68560,2,13,1.0,1.0
"DS19","D",68560,2,14,1.0,1.0
"DS19","D",68560,2,15,1.0,1.0
"DS19","D",68560,2,16,1.0,1.0
"DS19","D",68560,2,16,1.0,1.0
"DS19","D",68560,2,16,1.0,1.0
"DS19","D",68560,2,17,1.0,1.0
"DS19","D",68560,2,19,1.0,1.0
"DS19","D",68560,2,20,1.0,1.0
"DS19","D",68560,2,23,1.0,1.0
"DS19","D",68560,2,32,1.0,1.0
"DS19","D",68560,2,33,1.0,1.0
"DS19","D",68560,2,37,1.0,1.0
"KS19","KNE",68560,1,16,1.0,1.0
"KS19","KNE",68560,1,21,3.3,3.3
"KS19","KNE",68560,1,22,3.5,3.5
"KS19","KNE",68560,1,22,2.7,2.7
"KS19","KNE",68560,1,22,5.0,5.0
"KS19","KNE",68560,1,22,4.7,4.7
"KS19","KNE",68560,1,23,3.3,3.3
"KS19","KNE",68560,1,23,1.2,1.2
"KS19","KNE",68560,1,23,3.3,3.3
"KS19","KNE",68560,1,23,1.5,1.5
"KS19","KNE",68560,1,24,5.0,5.0
"KS19","KNE",68560,1,24,5.0,5.0
"KS19","KNE",68560,1,25,1.2,1.2
"KS19","KNE",68560,1,25,1.0,1.0
"KS19","KNE",68560,1,27,1.0,1.0
"KS19","KNE",68560,1,28,1.4,1.4
"KS19","KNE",68560,1,28,1.4,1.4
"KS19","KNE",68560,1,28,1.0,1.0
"KS19","KNE",68560,1,29,2.0,2.0
"KS19","KNE",68560,1,29,2.0,2.0
"KS19","KNE",68560,1,30,4.7,4.7
"KS19","KNE",68560,1,30,1.9,1.9
"KS19","KNE",68560,1,30,1.1,1.1
"KS19","KNE",68560,1,30,3.3,3.3
"KS19","KNE",68560,1,30,4.7,4.7
"KS19","KNE",68560,1,31,1.0,1.0
"KS19","KNE",68560,1,33,1.0,1.0
"KS19","KNE",68560,1,33,1.9,1.9
"KS19","KNE",68560,1,34,2.0,2.0
"KS19","KNE",68560,1,34,1.1,1.1
"KS19","KNE",68560,1,35,1.4,1.4
"KS19","KNE",68560,1,36,3.5,3.5
"KS19","KNE",68560,1,38,1.0,1.0
"KS19","KNE",68560,1,42,2.0,2.0
"KS19","KNE",68560,1,42,1.5,1.5
"KS19","KNE",68560,1,44,5.0,5.0
"KS19","KNE",68560,1,45,1.5,1.5
"KS19","KNE",68560,1,45,3.5,3.5
"KS19","KNE",68560,1,45,1.6,1.6
"KS19","KNE",68560,1,47,1.6,1.6
"KS19","KNE",68560,1,48,1.0,1.0
"KS19","KNE",68560,1,50,2.0,2.0
"KS19","KNE",68560,1,51,4.7,4.7
"KS19","KNE",68560,1,52,1.1,1.1
"KS19","KNE",68560,1,53,1.9,1.9
"KS19","KNE",68560,1,53,3.5,3.5
"KS19","KNE",68560,1,53,1.9,1.9
"KS19","KNE",68560,1,53,1.6,1.6
"KS19","KNE",68560,1,54,1.0,1.0
"KS19","KNE",68560,1,54,1.2,1.2
"KS19","KNE",68560,1,55,1.2,1.2
"KS19","KNE",68560,1,57,1.6,1.6
"KS19","KNE",68560,1,57,1.0,1.0
"KS19","KNE",68560,1,62,1.0,1.0
"KS19","KNE",68560,1,67,1.0,1.0
"KS19","KNE",68560,1,68,1.0,1.0
"KS19","KNE",68560,1,69,1.9,1.9
"KS19","KNE",68560,1,70,1.5,1.5
"KS19","KNE",68560,1,71,1.0,1.0
"KS19","KNE",68560,1,74,1.9,1.9
"KS19","KNE",68560,1,89,3.5,3.5
"KS19","KNE",68560,1,97,1.6,1.6
"KS19","KNE",68560,1,112,3.3,3.3
"KS19","KNE",68560,2,16,1.0,1.0
"KS19","KNE",68560,2,19,1.0,1.0
"KS19","KNE",68560,2,21,5.0,5.0
"KS19","KNE",68560,2,21,1.2,1.2
"KS19","KNE",68560,2,21,1.0,1.0
"KS19","KNE",68560,2,22,1.0,1.0
"KS19","KNE",68560,2,22,1.0,1.0
"KS19","KNE",68560,2,22,1.9,1.9
"KS19","KNE",68560,2,23,1.5,1.5
"KS19","KNE",68560,2,23,1.1,1.1
"KS19","KNE",68560,2,23,1.0,1.0
"KS19","KNE",68560,2,23,2.7,2.7
"KS19","KNE",68560,2,23,1.2,1.2
"KS19","KNE",68560,2,23,1.2,1.2
"KS19","KNE",68560,2,24,3.3,3.3
"KS19","KNE",68560,2,24,1.5,1.5
"KS19","KNE",68560,2,24,2.7,2.7
"KS19","KNE",68560,2,24,3.5,3.5
"KS19","KNE",68560,2,24,5.0,5.0
"KS19","KNE",68560,2,24,3.5,3.5
"KS19","KNE",68560,2,24,5.0,5.0
"KS19","KNE",68560,2,24,1.5,1.5
"KS19","KNE",68560,2,25,3.5,3.5
"KS19","KNE",68560,2,25,2.7,2.7
"KS19","KNE",68560,2,25,3.3,3.3
"KS19","KNE",68560,2,25,1.2,1.2
"KS19","KNE",68560,2,26,3.5,3.5
"KS19","KNE",68560,2,26,1.6,1.6
"KS19","KNE",68560,2,28,4.7,4.7
"KS19","KNE",68560,2,28,1.5,1.5
"KS19","KNE",68560,2,28,1.9,1.9
"KS19","KNE",68560,2,29,2.0,2.0
"KS19","KNE",68560,2,29,1.0,1.0
"KS19","KNE",68560,2,29,4.7,4.7
"KS19","KNE",68560,2,30,1.4,1.4
"KS19","KNE",68560,2,31,1.9,1.9
"KS19","KNE",68560,2,31,2.0,2.0
"KS19","KNE",68560,2,31,1.0,1.0
"KS19","KNE",68560,2,31,1.9,1.9
"KS19","KNE",68560,2,31,1.9,1.9
"KS19","KNE",68560,2,32,1.0,1.0
"KS19","KNE",68560,2,32,1.9,1.9
"KS19","KNE",68560,2,32,1.9,1.9
"KS19","KNE",68560,2,33,1.9,1.9
"KS19","KNE",68560,2,34,1.9,1.9
"KS19","KNE",68560,2,34,1.9,1.9
"KS19","KNE",68560,2,34,1.0,1.0
"KS19","KNE",68560,2,37,2.7,2.7
"KS19","KNE",68560,2,37,2.7,2.7
"KS19","KNE",68560,2,37,1.5,1.5
"KS19","KNE",68560,2,40,4.7,4.7
"KS19","KNE",68560,2,41,1.4,1.4
"KS19","KNE",68560,2,43,1.6,1.6
"KS19","KNE",68560,2,43,1.6,1.6
"KS19","KNE",68560,2,43,5.0,5.0
"KS19","KNE",68560,2,45,1.0,1.0
"KS19","KNE",68560,2,45,1.0,1.0
"KS19","KNE",68560,2,45,3.3,3.3
"KS19","KNE",68560,2,46,2.7,2.7
"KS19","KNE",68560,2,46,1.6,1.6
"KS19","KNE",68560,2,46,1.0,1.0
"KS19","KNE",68560,2,52,4.7,4.7
"KS19","KNE",68560,2,52,1.0,1.0
"KS19","KNE",68560,2,52,2.0,2.0
"KS19","KNE",68560,2,53,1.4,1.4
"KS19","KNE",68560,2,53,2.0,2.0
"KS19","KNE",68560,2,55,2.0,2.0
"KS19","KNE",68560,2,55,1.9,1.9
"KS19","KNE",68560,2,56,1.0,1.0
"KS19","KNE",68560,2,57,1.1,1.1
"KS19","KNE",68560,2,57,1.9,1.9
"KS19","KNE",68560,2,58,4.7,4.7
"KS19","KNE",68560,2,59,1.0,1.0
"KS19","KNE",68560,2,59,1.0,1.0
"KS19","KNE",68560,2,63,1.6,1.6
"KS19","KNE",68560,2,63,1.0,1.0
"KS19","KNE",68560,2,63,1.0,1.0
"KS19","KNE",68560,2,63,1.1,1.1
"KS19","KNE",68560,2,65,1.0,1.0
"KS19","KNE",68560,2,65,2.7,2.7
"KS19","KNE",68560,2,67,1.4,1.4
"KS19","KNE",68560,2,68,3.3,3.3
"KS19","KNE",68560,2,68,1.4,1.4
"KS19","KNE",68560,2,71,1.0,1.0
"KS19","KNE",68560,2,72,1.9,1.9
"KS19","KNE",68560,2,74,1.1,1.1
"KS19","KNE",68560,2,74,1.0,1.0
"KS19","KNE",68560,2,75,4.7,4.7
"KS19","KNE",68560,2,75,1.4,1.4
"KS19","KNE",68560,2,76,1.0,1.0
"KS19","KNE",68560,2,94,1.9,1.9
"KS19","KSH",68560,1,20,1.0,1.0
"KS19","KSH",68560,1,23,1.0,1.0
"KS19","KSH",68560,1,23,1.0,1.0
"KS19","KSH",68560,1,24,2.0,2.0
"KS19","KSH",68560,1,24,1.0,1.0
"KS19","KSH",68560,1,25,1.0,1.0
"KS19","KSH",68560,1,26,1.0,1.0
"KS19","KSH",68560,1,26,1.0,1.0
"KS19","KSH",68560,1,28,1.0,1.0
"KS19","KSH",68560,1,31,2.0,2.0
"KS19","KSH",68560,1,31,1.7,1.7
"KS19","KSH",68560,1,32,1.7,1.7
"KS19","KSH",68560,1,32,1.0,1.0
"KS19","KSH",68560,1,33,1.0,1.0
"KS19","KSH",68560,1,33,1.0,1.0
"KS19","KSH",68560,1,34,1.0,1.0
"KS19","KSH",68560,1,34,2.0,2.0
