sm_shell_id,tow,shell_num,rcode,samp_grp,sex,size,gonad,mud_blister,shell_worm,damage,shell_retained,whole_wt,meat_weight,meat_condition,sampfrac,samptime
7748,19020002,1,74120,1,1,111.00,3,0,0,{0},1,141.00000,13.00000,0,,2019-09-13 09:10:41
7749,19020002,2,74120,1,2,108.00,2,0,0,{0},1,149.00000,17.00000,0,,2019-09-13 14:30:56
7750,19020003,1,74120,1,1,140.00,3,0,0,{0},1,310.00000,35.00000,0,,2019-09-13 14:40:59
7751,19020003,11,74120,2,0,27.00,0,0,0,{0},1,3.00000,,0,,2019-09-13 15:12:57
7752,19020004,1,74120,1,1,193.00,2,0,1,{1},1,628.00000,62.00000,0,,2019-09-13 15:15:38
7753,19020004,2,74120,1,1,175.00,2,1,2,{0},1,562.00000,53.00000,0,,2019-09-13 16:01:02
7754,19020004,3,74120,1,1,134.00,2,0,0,{0},1,273.00000,30.00000,0,,2019-09-13 16:01:24
7755,19020004,4,74120,1,2,182.00,2,1,3,{0},1,647.00000,65.00000,1,,2019-09-13 16:01:41
7756,19020004,5,74120,1,1,160.00,2,1,4,{0},1,506.00000,23.00000,1,,2019-09-13 16:01:51
7757,19020004,6,74120,1,2,179.00,3,3,0,{0},1,621.00000,48.00000,0,,2019-09-13 16:01:59
7758,19020004,7,74120,1,2,174.00,2,0,1,{0},1,324.00000,55.00000,0,,2019-09-13 16:02:10
7759,19020004,11,74120,2,0,32.00,0,0,0,{0},1,,,0,,2019-09-13 16:16:10
7760,19020005,1,74120,1,2,176.00,2,1,2,{0},1,572.00000,40.00000,0,,2019-09-13 16:22:48
7761,19020005,2,74120,1,1,162.00,3,0,1,{0},1,504.00000,38.00000,0,,2019-09-13 16:46:43
7762,19020005,3,74120,1,2,172.00,2,1,3,{0},1,604.00000,53.00000,0,,2019-09-13 16:46:52
7763,19020005,4,74120,1,2,181.00,2,0,4,{0},1,681.00000,54.00000,0,,2019-09-13 16:47:01
7764,19020005,5,74120,1,2,169.00,2,0,2,{0},1,551.00000,47.00000,1,,2019-09-13 16:47:10
7765,19020005,6,74120,1,1,172.00,3,0,3,{0},1,610.00000,60.00000,0,,2019-09-13 16:47:18
7766,19020005,7,74120,1,1,169.00,3,2,4,{0},1,591.00000,42.00000,0,,2019-09-13 16:47:28
7767,19020005,8,74120,1,1,167.00,3,0,0,{0},1,461.00000,49.00000,0,,2019-09-13 16:47:37
7768,19020005,9,74120,1,1,173.00,2,0,3,{0},1,592.00000,46.00000,0,,2019-09-13 16:47:45
7769,19020005,10,74120,1,1,177.00,2,1,3,{0},1,634.00000,63.00000,0,,2019-09-13 16:47:54
