animal_id,tow,samp_num,rcode,samp_grp,sex,size,shell,condition,sampfrac,chela,clutch,eggdev,clutchcon,maturity,parasite,samptime
705,19020002,1,68560,0,1,21.20,2,1,,2.90,0,0,0,0,0,2019-09-13 10:35:49
706,19020004,1,68020,0,1,175.80,3,0,,0.00,0,0,0,0,0,2019-09-13 16:00:21
707,19020004,2,68020,0,1,167.40,2,0,,0.00,0,0,0,0,0,2019-09-13 16:01:52
708,19020004,3,68020,0,1,167.90,2,0,,0.00,0,0,0,0,0,2019-09-13 16:02:44
709,19020005,1,68020,0,1,139.90,2,0,,0.00,0,0,0,0,0,2019-09-13 17:10:47
710,19020005,2,68020,0,1,169.00,2,0,,0.00,0,0,0,0,0,2019-09-13 17:12:15
711,19020005,3,68560,0,2,13.80,1,2,,0.00,0,0,1,1,0,2019-09-13 17:12:42
712,19020006,1,68020,0,1,159.90,2,0,,0.00,0,0,0,0,0,2019-09-13 17:17:39
713,19020006,1,68560,0,2,29.90,2,0,,0.00,0,0,0,1,0,2019-09-13 17:59:04
714,19020006,2,68020,0,2,127.10,2,0,,0.00,0,0,0,2,0,2019-09-13 17:54:41
715,19020007,2,68020,0,2,146.40,2,0,,0.00,0,0,0,2,0,2019-09-13 18:18:40
716,19020008,1,68020,0,1,171.40,1,0,,0.00,0,0,0,0,0,2019-09-13 19:02:38
717,19020008,2,68020,0,2,156.80,2,0,,0.00,0,0,0,2,0,2019-09-13 19:03:43
718,19020008,3,68020,0,2,137.80,2,0,,0.00,0,0,0,0,0,2019-09-13 19:04:31
719,19020008,4,68560,0,2,19.10,1,0,,0.00,0,0,0,0,0,2019-09-13 19:05:12
720,19020009,1,68560,0,1,13.10,2,2,,0.00,0,0,0,0,0,2019-09-14 08:24:06
721,19020009,2,68560,0,1,12.60,2,1,,0.00,0,0,0,0,0,2019-09-14 08:25:31
722,19020009,3,68560,0,1,11.40,2,2,,0.00,0,0,0,0,0,2019-09-14 08:26:03
723,19020009,4,68560,0,2,23.90,2,1,,0.00,0,0,0,1,0,2019-09-14 08:26:31
724,19020009,5,68560,0,0,14.40,2,1,,0.00,0,0,0,0,0,2019-09-14 08:27:26
725,19020009,6,68560,0,0,22.30,2,2,,0.00,0,0,0,0,0,2019-09-14 08:28:10
726,19020009,7,68560,0,0,22.10,2,2,,0.00,0,0,0,0,0,2019-09-14 08:28:34
