tow,event_id,cruise,haul,stn_id,date_set,time_start,lat_start_dd,lon_start_dd,depth_start,heading,time_end,duration,distance,lat_end_dd,lon_end_dd,depth_end,scope,weather,surface_temp,depth_max,depth_min,dredge_id,haul_type,perform,gear_code,sensor,speed_avg,depth_avg,notes
19020001,,1902,1,HH02,9/13/2019,13:11:00,59.441,-153.003,25.3,138,13:26:00,17,1,59.4268,-152.985,26.8,78,31,12.6,,,,10,1,1,1,4.2,26,DM target = 12
DM actual = 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020002,,1902,2,HF01,9/13/2019,14:06:00,59.4605,-153.0618,23,161,14:21:00,15,1,59.4442,-153.056,24.7,74,31,12.5,,,,10,1,1,1,4,,DM target=12
DM actual=8/11.6/12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020003,,1902,3,HE00,9/13/2019,14:53:00,59.474,-153.0935,22.6,168,15:06:00,13,0.78,59.4615,-153.0903,23.2,69,11,12.6,,,,10,1,1,1,4.1,23,DM target=12
DM actual=11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hung up on something.  Hauled back early,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020004,,1902,4,HE02,9/13/2019,15:38:00,59.443,-153.0927,24,166,15:53:00,15,1,59.4263,-153.0918,24.9,71,11,12.7,,,,10,1,1,1,4,,DM target=12
DM actual=9/12.1/14.3/11.3/13/13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020005,,1902,5,HF03,9/13/2019,16:25:00,59.4232,-153.0667,25.3,136,16:40:00,15,1,59.4093,-153.0487,26.2,74,31,13,,,,10,1,1,1,4.1,25.8,DM target=12
DM actual=6/17/level 10/12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=75/73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020006,,1902,6,HG04,9/13/2019,17:13:00,59.4043,-153.037,26.5,120,17:28:00,15,1,59.3942,-153.0112,28.1,74,11,12.9,,,,10,1,1,1,4.1,27.1,DM target=12
DM actual=3.6/5.8/8.4/10.5/11.6/15.2/14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=78/74/75/71/70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020007,,1902,7,HH05,9/13/2019,17:55:00,59.3872,-152.9988,28.8,119,18:10:00,15,1,59.3748,-152.9772,30.3,83,11,12.8,,,,10,1,1,1,4.1,,DM target=12
DM actual=9.3/11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=87/82/81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Speed=4/4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020008,,1902,8,HH08,9/13/2019,18:43:00,59.325,-152.9887,32.8,344,18:58:00,15,1,59.3413,-152.9962,31.4,97,11,12.88,,,,10,1,1,1,4.1,,DM target=12
DM actual=11.3/11.2/8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=99/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Speed=4/4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020009,,1902,9,HA10,9/14/2019,7:44:00,59.291,-153.2232,25.6,345,7:59:00,15,1,59.3078,-153.2252,26.2,76,31,,,,,10,1,1,1,4,,DM target=12
DM actual=12.6/8.4/14.4/12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=78/76/75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020010,,1902,10,HD12,9/14/2019,8:41:00,59.2568,-153.1237,28.5,352,8:56:00,15,1,59.2735,-153.1258,30.2,86,82,,,,,10,1,1,1,4,29,DM target=12
