Season,District,Fishery,n_vessels,mt_wt,rnd_wt,dredge_hrs,mt_cpue,rnd_cpue
1993/94,YAK,,,141423,,1999,71,
1994/95,YAK,,,253060,,4262,59,
1995/96,YAK,,,242491,,4712,51,
1996/97,YAK,,3,238736,,3982,60,
1997/98,YAK,,4,242940,,3956,61,
1998/99,YAK,,8,241678,,4192,58,
1999/00,YAK,,3,249681,,3840,65,
2000/01,YAK,,3,195699,,4241,46,
2001/02,YAK,,2,103800,,2406,43,
2002/03,YAK,,2,122718,,2439,50,
2003/04,YAK,,2,160918,,3358,48,
2004/05,YAK,,2,86950,,2134,41,
2005/06,YAK,,2,199351,,5089,39,
2006/07,YAK,,2,150950,,2817,54,
2007/08,YAK,,2,125960,,2601,48,
2008/09,YAK,,3,150289,,3286,46,
1995/96,D16,,,33302,,1095,30.41278539,
1996/97,D16,,2,34060,,917,37.14285714,
1997/98,D16,,4,22890,,561,40.80213904,
1998/99,D16,,3,34153,,702,48.65099715,
1999/00,D16,,2,34624,,674,51.37091988,
2000/01,D16,,3,30904,,476,64.92436975,
2001/02,D16,,2,20398,,417,48.91606715,
2002/03,D16,,2,3685,,100,36.85,
2003/04,D16,,2,1072,,18,59.55555556,
2004/05,D16,,2,24430,,419,58.30548926,
2005/06,D16,,2,13650,,407,33.53808354,
2006/07,D16,,2,13445,,309,43.51132686,
2007/08,D16,,1,180,,14,12.85714286,
2008/09,D16,,1,20986,,423,49.61229314,
1995/96,EKI,,,,,,,
1996/97,EKI,,,,,,,
1997/98,EKI,,1,,,,,
1998/99,EKI,,2,6300,,85.43,73.74170894,
1999/00,EKI,,1,6065,,73.73,82.25587704,
2000/01,EKI,,2,8998,,91.53,98.30298617,
2001/02,EKI,,1,9060,,139.5,64.94623656,
2002/03,EKI,,1,1680,,42.67,39.375,
2003/04,EKI,,1,5910,,123,48.04878049,
2004/05,EKI,,2,25350,,430,58.95348837,
2005/06,EKI,,3,24435,,219,111.5753425,
2006/07,EKI,,2,20010,,188,106.4361702,
2007/08,EKI,,2,20015,,202.67,98.75822368,
2008/09,EKI,,1,15030,,197,76.29441624,
1995/96,WKI,,,,,,,
1996/97,WKI,,,,,,,
1997/98,WKI,,1,,,,,
1998/99,WKI,,2,13350,,93.8,142.3240938,
1999/00,WKI,,2,14345,,75.62,189.7068547,
2000/01,WKI,,3,21268,,129.48,164.2527996,
2001/02,WKI,,1,21030,,123.75,169.9393939,
2002/03,WKI,,2,13961,,79.07,176.5725126,
2003/04,WKI,,1,14070,,92.5,152.1081081,
2004/05,WKI,,2,23970,,184.67,129.801444,
2005/06,WKI,,3,24781,,272,91.10661765,
2006/07,WKI,,2,17005,,147,115.6802721,
2007/08,WKI,,2,17090,,225.17,75.89933383,
2008/09,WKI,,1,5010,,134,37.3880597,
1992/93,KAMN,,,,,,,
1993/94,KAMN,,3,20115,,528,38.09659091,
1994/95,KAMN,,4,20431,,458,44.60917031,
1995/96,KAMN,,,,,,,
1996/97,KAMN,,5,28228,,534,52.86142322,
1997/98,KAMN,,3,20336,,395,51.4835443,
1998/99,KAMN,,1,17246,,390,44.22051282,
1999/00,KAMN,,3,20315,,325,62.50769231,
2000/01,KAMN,,3,20516,,275,74.60363636,
2001/02,KAMN,,2,20097,,325,61.83692308,
2002/03,KAMN,,3,6045,,235,25.72340426,
2003/04,KAMN,,2,,,,,
2004/05,KAMN,,3,4519,,198,22.82323232,
2005/06,KAMN,,2,7378,,372,19.83333333,
2006/07,KAMN,,1,50,,10,5,
2007/08,KAMN,,0,0,,,,
2008/09,KAMN,,0,0,,,,
1992/93,KAMS,,,,,,,
1993/94,KAMS,,,,,,,
1994/95,KAMS,,,,,,,
1995/96,KAMS,,,,,,,
1996/97,KAMS,,,,,,,
1997/98,KAMS,,,,,,,
1998/99,KAMS,,,,,,,
1999/00,KAMS,,,,,,,
2000/01,KAMS,,,,,,,
2001/02,KAMS,,,,,,,
2002/03,KAMS,,,2546,,76,33.5,
2003/04,KAMS,,,15843,,896,17.68191964,
2004/05,KAMS,,,1598,,166,9.626506024,
2005/06,KAMS,,,,,,,
2006/07,KAMS,,,,,,,
2007/08,KAMS,,,0,,,,
2008/09,KAMS,,,0,,,,
1993/94,KNE,,,155187,,6940,22.36123919,
1994/95,KNE,,,35207,,1773,19.857304,
1996/97,KNE,,3,11430,,581,19.67297762,
1997/98,KNE,,3,95858,,2604.37,36.80664524,
1998/99,KNE,,4,120010,,2747,43.68765926,
1999/00,KNE,,3,77119,,1384,55.72182081,
2000/01,KNE,,4,79965,,1101,72.62942779,
2001/02,KNE,,3,80470,,1142,70.46409807,
2002/03,KNE,,2,80000,,1350,59.25925926,
2003/04,KNE,,2,79965,,1247.68,64.09078158,
2004/05,KNE,,2,80105,,1226.67,65.30298913,
2005/06,KNE,,3,79990,,1758.7,45.48245863,
2006/07,KNE,,2,75150,,1167.67,64.35912075,
2007/08,KNE,,2,75105,,1169.67,64.21060131,
2008/09,KNE,,3,74863,,1363,54.92516508,
1993/94,KSH,,,105017,,2491.17,42.15575032,
1994/95,KSH,,,314051,,8661.92,36.25652521,
1996/97,KSH,,4,219305,,3491,62.82010885,
1997/98,KSH,,4,258346,,5492,47.04042243,
1998/99,KSH,,8,179870,,4081,44.07498162,
1999/00,KSH,,6,187963,,4304,43.67170074,
2000/01,KSH,,5,180087,,2907,61.9494324,
2001/02,KSH,,4,177112,,3398.25,52.11859045,
2002/03,KSH,,3,180580,,3799.08,47.53251881,
2003/04,KSH,,2,180111,,3257.58,55.2897598,
2004/05,KSH,,2,174622,,3466.92,50.36809845,
2005/06,KSH,,2,159941,,2280,70.1495614,
2006/07,KSH,,3,162537,,2183,74.45579478,
2007/08,KSH,,3,169968,,2937.18,57.86768503,
2008/09,KSH,,2,13761,,263,52.32319392,
1993/94,M,,,112152,,1847,60.72116946,
1994/95,M,,,65282,,1664,39.23197115,
1995/96,M,,,,,,,
