Season,Bed,nom_cpue,nom_cpue_median,nom_cpue_sd,std_cpue
2009/10,YAK1,609.8555323590814,593.95,215.07363008312183,822.2315989544476
2009/10,YAK2,586.1258540636442,584.8000000000001,185.8033455308042,655.7134660934895
2009/10,YAK3,583.2391581632653,584.8000000000001,269.9848674146304,501.03816775551593
2009/10,YAK4,603.3197773582845,575.7,292.81919961419817,615.5368571921981
2009/10,YAK5,531.4169706444328,493.4,282.5297441695398,628.9591858164258
2009/10,YAK6,435.42364064055005,414.40000000000003,263.8037226904867,450.3609666811371
2009/10,YAKB,577.9694365158269,584.8000000000001,197.37687955124966,607.5229742847467
2010/11,YAK1,573.9718162839248,513.5583333333333,230.99078580788526,724.3797509698842
2010/11,YAK2,615.722538107912,602.1333333333333,154.39459634369157,639.3147407186482
2010/11,YAK3,499.752750279356,493.551912568306,192.93386282683667,404.10207432665
2010/11,YAK4,613.9872307823274,584.4,259.8028032130064,561.9478980570221
2010/11,YAK5,705.1311540989228,670.5085828343313,278.79856855758504,770.9591679703568
2010/11,YAK6,376.08954860688647,352.2,204.27255355947807,356.5718077305642
2010/11,YAKB,479.2790978654853,495.8666666666666,221.56051859853443,554.5110058398864
2011/12,YAK1,629.80181200453,560.8227806681718,255.68370805195616,765.1955243425058
2011/12,YAK2,501.1590374284066,516.7,116.81592334247729,525.1929533294885
2011/12,YAK3,428.51729122650954,439.2,131.48033560290574,306.8534215550989
2011/12,YAK4,515.0619893310748,505.0375939849624,217.36751380371,481.54712414145047
2011/12,YAK5,574.7481794726959,564.6994535519126,221.46622430327713,629.6052749212132
2011/12,YAK6,342.66245341111653,312.1547008547009,216.3045647027488,356.7316767427094
2011/12,YAKB,495.8191554781184,516.7,118.30759479039284,477.2295605579675
2012/13,YAK1,607.4356893613568,592.7400935833252,168.78521665488645,704.8915593667289
2012/13,YAK2,425.92168298271196,434.8502994011977,146.80454121826386,488.3241447174727
2012/13,YAK3,353.7922066275055,345.8,179.50137439921863,249.70309721422305
2012/13,YAK4,396.36664228237015,376.57724550898206,147.14029269231827,372.93943638859344
2012/13,YAK5,604.6824116666999,570.6,256.51842587595434,678.70559443762
2012/13,YAK6,456.2956788575307,426.40000000000003,196.77935422778057,496.7513204852951
2012/13,YAKB,453.5863952545556,466.85,130.31051077468854,466.78714437732447
2013/14,YAK1,763.8611637888013,752.9,259.4523001308472,704.9733388315452
2013/14,YAK2,687.8832967635765,672.2,274.188507309362,847.1641399677013
2013/14,YAK3,536.6754011629358,564.65,168.3073599135611,478.2872658446096
2013/14,YAK4,551.764468031337,579.6407185628743,218.6007473553723,500.59383069615814
2013/14,YAK5,453.4685191133955,435.5098360655738,185.63079633782974,516.9000157869851
2013/14,YAK6,493.9948864443427,527.185628742515,255.0290006837841,460.4704310094387
2013/14,YAKB,567.3990604367699,515.2095808383234,201.60531244586227,578.2399480441819
2014/15,YAK1,508.91137130082217,504.4311377245509,198.7245128828921,546.8226805676333
2014/15,YAK2,571.1195863545231,579.15,177.5668999466534,713.399700238394
2014/15,YAK3,419.40870517382973,346.7964071856287,307.8878501200719,330.1623478080149
2014/15,YAK4,637.5627169454086,631.8,269.67458510218086,771.7344954204798
2014/15,YAK5,541.5079685022441,526.5,193.82315146534597,631.2314623197116
2014/15,YAK6,258.6163567344193,254.88479262672814,111.76038872820253,253.60996767838975
2014/15,YAKB,364.4680234963183,361.27450980392155,107.01557402826622,332.1725939491273
2015/16,YAK1,591.830378980224,589.9,157.3425563133989,689.7076249969238
2015/16,YAK2,764.8557516998778,723.95,257.9464538263657,763.461719609353
2015/16,YAK3,642.1291820500134,644.1163934426229,147.6335752874466,541.4997805776441
2015/16,YAK4,699.6774923616612,670.3,307.1494033908418,731.7624588456224
2015/16,YAK5,682.6487529063622,644.6994535519125,235.8089827446138,805.6945284333636
2015/16,YAK6,280.7263556116015,280.2732240437158,158.02437244365854,286.3353944434554
2015/16,YAKB,449.51408504465985,449.5808383233533,131.73325266465662,414.44722035366567
2016/17,YAK1,554.0153362309621,536,216.67801348521198,726.0157877481885
2016/17,YAK2,760.7700997195387,643.1999999999999,361.62606877491055,796.3965393542794
