Season,ghl,tanner_cbl,total_tanner,tanner_ratio,total_snow,snow_ratio,total_king,king_ratio,total_dungeness,dungeness_ratio,total_halibut,halibut_ratio
2012/13,15000,12000,8045.278008298755,0.5349253994879491,0,0,0,0,0,0,70.57261410788381,0.004692328065683764
2013/14,15000,12000,3311.9951439472775,0.21854098236343164,0,0,0,0,0,0,17.160596600763093,0.0011323366961835835
2014/15,15000,12000,14065.346638655461,0.9376904010372981,0,0,0,0,0,0,51.86974789915967,0.003457985498600977
2015/16,15000,12000,6396.844884488449,0.42645831577137017,0,0,0,0,0,0,42.693069306930695,0.0028462179028122593
2016/17,15000,12000,4016.715038033938,0.2675468098946681,0,0,0,0,0,0,49.71181977764775,0.003311222894735991
2017/18,15000,12000,5053.446931163106,0.33137183091256606,0,0,0,0,0,0,44.42590708714818,0.002913158953077504
2018/19,15000,7500,4049.0394225430314,0.4546933149327547,0,0,0,0,0,0,0,0
2019/20,7500,3750,10414.707364341086,1.8144057875057857,45.72868217054263,0.007966655488499607,0,0,0,0,91.45736434108527,0.015933310976999213
