Season,Bed,nom_cpue,nom_cpue_median,nom_cpue_sd,std_cpue
2009/10,KSW1,391.9224230212203,382.85,220.8859837133214,415.953111021665
2010/11,KSH 4-6,493.02978977782203,393.59999999999997,314.6925510350241,586.6717645598065
2011/12,KSW1,765.7203184797431,785.6284153005464,304.9363821782251,779.3562404572036
2012/13,KSW1,389.42804345558324,360.05988023952096,188.2636403198379,417.24962905402924
2013/14,KSH 4-6,514.0432098765432,320.72289156626505,356.32636267905235,555.1637855863993
2013/14,KSW1,437.11866983372926,348.1333333333334,247.71860742538087,434.5550268810309
2014/15,KSH 4-6,508.3128078817734,457.4666666666667,185.2794011360145,498.59648015467934
2014/15,KSW1,560.6222502704651,553.8,229.40155489892962,539.7661710760503
2015/16,KSH 4-6,376.8561305085997,345.1366120218579,168.3679080630644,528.5140752918893
2015/16,KSW1,558.3543044003696,537.4,257.4640273788722,534.2504884445741
2016/17,KSH 4-6,561.570742318499,526.4,316.9931662132983,683.7947446898299
2016/17,KSW1,984.1970680768458,839.4610778443115,572.0794822368712,840.2694223578766
2017/18,KSH 4-6,781.6957878315133,919.4011976047905,302.10761191956834,857.4669710351792
2017/18,KSW1,887.3629664970314,851.85,328.44562018302724,716.3412587747521
2018/19,KSH 4-6,555.4278475495137,509.1017964071857,192.69178379295286,527.6913771121419
2018/19,KSW1,1360.2580375200503,1394.9700598802394,430.5944250837023,1018.9849076081412
2019/20,KSH 4-6,476.93812592190045,474.26666666666665,196.84570565779916,554.1969589650772
2019/20,KSW1,867.9179451909852,912.8143712574852,326.17567368925046,881.9150441307501
