Season,nom_cpue,nom_cpue_median,nom_cpue_sd,std_cpue
2009/10,573.3204408675961,552.3308270676691,264.63910804048743,607.4258713041637
2010/11,604.5653826589078,566.6666666666666,254.65701618124297,566.726336580358
2011/12,511.4186464672938,508.25136612021856,203.7791841455456,482.9034180090589
2012/13,492.56125223489556,465.92814371257487,224.60730328469396,498.3750909207683
2013/14,612.5591035303452,593.9301581169458,267.7390989169127,656.4462243379497
2014/15,492.36379635608563,473.85,213.31371623912378,590.3069740298043
2015/16,664.561407602735,643.5,249.45802196239725,760.8468742127727
2016/17,776.5595349300356,678.9333333333333,354.23168768511806,873.4299270033495
2017/18,635.2447554859583,594.9333333333333,286.7146087011245,685.9700534811016
2018/19,784.1213754532063,767.2222891566265,369.04215702366463,864.1988133039143
2019/20,604.0369490887227,577.6047904191618,237.03771852472173,631.4516459313287
