Season,ghl,mt_wt,rnd_wt,dredge_hrs,number_hauls,mw_cpue,rw_cpue
2009/10,10000,6079.97,54881.5,103.85,77,58.54569090033703,528.4689455946076
2010/11,10000,5640,42176.7,83.43,53,67.60158216468895,505.5339805825242
2011/12,10000,5570.01,45512.8,76.77,60,72.55451348182885,592.8461638660935
2012/13,5000,5100.06,37730,64.19,60,79.4525627044711,587.7862595419848
2013/14,5000,5225.01,44571.6,55.85,28,93.55434198746643,798.0590868397493
2014/15,5000,5160.01,41322.9,73.37,57,70.3286084230612,563.2124846667575
2015/16,10000,5039.98,45214.8,156.76,97,32.15093136004083,288.4332737943353
2016/17,10000,5050,39180.9,104.16,81,48.48310291858679,376.16071428571433
2017/18,10000,285,2250,24.26,18,11.7477328936521,92.74525968672712
2018/19,5000,324.99,3570.6,23.5,12,13.82936170212766,151.94042553191488
2019/20,5000,2624.98,24738.6,130.74,65,20.077864463821324,189.2198256080771
