Season,ghl,tanner_cbl,total_tanner,tanner_ratio,total_king,king_ratio,total_halibut,halibut_ratio
2009/10,75000,217000,43809.34892473118,0.6311692295562629,0,0,251.77786738351256,0.0036274093652658786
2010/11,65000,169925,27793.24361948956,0.4310698158464044,0,0,625.6424013921114,0.009703637274084846
2011/12,70000,147956,28498.820221948212,0.46559768998353696,0,0,340.4295930949445,0.00556174714997399
2012/13,60000,50874,48549.50870128002,0.7768437216435975,0,0,294.64267222781535,0.004714595804806485
2013/14,55000,49124,22431.324875812,0.40839099946677443,1,1.8206280802751333e-5,228.52670997325183,0.0041606214527019365
2014/15,55000,256466,16415.24896427734,0.29492570130754114,0,0,1440.4498553896663,0.02587994155456575
2015/16,55000,93929,24342.29521067783,0.43799193355165783,0,0,3422.3820989269816,0.06157906392508456
2016/17,55000,20816,9123.849499482223,0.3739115547494896,0,0,630.1001035554021,0.025822621184357016
2017/18,55000,19388,5463.207409568261,0.3850035031358843,0,0,132.2564177362894,0.00932038275747951
2018/19,15000,9000,8893.162430939226,0.5846971918833721,0,0,115.87182320441987,0.007618204454506476
2019/20,15000,9000,3507.408105560792,0.2327412364282121,0,0,58.13383600377003,0.003857589554058764
