Season,nom_cpue,nom_cpue_median,nom_cpue_sd,std_cpue
2009/10,391.9224230212203,382.85,220.8859837133214,419.4307917664506
2010/11,493.02978977782203,393.59999999999997,314.6925510350241,586.6717645598065
2011/12,765.7203184797431,785.6284153005464,304.9363821782251,779.3562404572036
2012/13,389.42804345558324,360.05988023952096,188.2636403198379,419.0759564855232
2013/14,440.29694132220874,348.1333333333334,254.71258986628652,436.3449026765265
2014/15,553.9416483170809,550.2185792349726,224.14257177962523,538.6105612735988
2015/16,499.3644586262326,422.33532934131733,242.73406722926123,534.2430497678797
2016/17,900.7085049239033,719.5209580838323,551.8211676270582,835.7586928127347
2017/18,872.0173093479541,851.85,324.85276197711477,769.8906223630092
2018/19,781.5074638561298,634.0718562874252,455.8239974325847,535.8926342699707
2019/20,709.4618192115282,669.4011976047905,339.64633543873236,577.262907244537
