Season,ghl,tanner_cbl,total_tanner,tanner_ratio,total_king,king_ratio,total_dungeness,dungeness_ratio,total_halibut,halibut_ratio
2009/10,10000,10000,25.705445544554458,0.004227890194286231,0,0,0,0,0,0
2010/11,10000,10000,909.2270433905146,0.16121046868626146,0,0,0,0,50.51261352169526,0.008956137149236747
2011/12,10000,10000,617.1221864951768,0.11079373044126974,0,0,0,0,16.456591639871384,0.0029544994784338596
2012/13,5000,5000,745.5825771324863,0.14619094228940177,0,0,0,0,11.649727767695099,0.0022842334732719027
2013/14,5000,5000,1205.8522727272727,0.23078468227377033,0,0,0,0,18.133116883116884,0.003470446349981509
2014/15,5000,5000,1037.4611464968154,0.20105797207695633,0,0,0,0,0,0
2015/16,10000,10000,325.5858277336591,0.06460061899722996,0,0,9.576053756872327,0.0019000182058008816,0,0
2016/17,10000,10000,270.54545454545456,0.053573357335733575,2,3.9603960396039607e-4,15.914438502673795,0.003151373960925504,31.82887700534759,0.006302747921851008
2017/18,10000,10000,7.652996845425868,0.0268526205102662,0,0,0,0,0,0
2018/19,5000,5000,305.5,0.9400289239668913,0,0,0,0,11.75,0.0361549586141112
2019/20,5000,5000,885.0870406189556,0.3371785844535789,0,0,0,0,0,0
