Season,nom_cpue,nom_cpue_median,nom_cpue_sd,std_cpue
2009/10,680.7964507600251,597.35,348.7794126395346,603.3874064941025
2010/11,662.2069427479412,594.5851851851851,371.4346151407267,734.1752376608001
2011/12,676.4582213522915,547.7333333333333,423.5678341901593,819.0046109650993
2012/13,567.1770660734957,529.6,288.9987132626526,662.623817775372
2013/14,563.0587719110503,440.3333333333333,446.75968628953876,686.4302433447231
2014/15,888.0703317157482,885.25,385.4412568421024,709.3042008250962
2015/16,516.7284262305762,487.60479041916165,241.4722212678505,478.1754505774588
2016/17,267.0585820623221,240.95808383233532,176.5632457928139,264.81936763981827
2017/18,390.81032258064516,407.185628742515,166.13871165099553,457.28643861654007
2018/19,592.514494964907,419,573.9742899399571,435.6008830232841
2019/20,807.3404669260701,752.3410179640719,451.84700889058894,871.0622420665966
