Season,ghl,tanner_cbl,total_tanner,tanner_ratio,total_king,king_ratio,total_dungeness,dungeness_ratio,total_halibut,halibut_ratio
2009/10,170000,25000,15932.802768389556,0.09376187055034337,0,0,188.15307945665512,0.0011072492979492604,195.67920263492132,0.0011515392698672306
2010/11,170000,26400,17868.888076654897,0.10444990769698113,0,0,639.0198385028904,0.0037352947123423714,402.3458242425606,0.0023518522262896413
2011/12,135000,28636,24388.074094024,0.1786791606942208,0,0,21.879253074782294,1.6029829009648992e-4,247.96486818086603,0.0018167139544268862
2012/13,105000,80540,17112.33972372266,0.1613597145419506,0,0,17.723811210484367,1.6712554587462513e-4,239.27145134153898,0.00225619486930744
2013/14,105000,27450,21188.111534006286,0.19970072884544673,1,9.425131094148388e-6,155.43402283633955,0.0014649860417233545,392.6754261128578,0.0037010173685642638
2014/15,105000,42144,51975.422128517734,0.7858632273204169,5,7.559950406725332e-5,59.74186451553762,9.032910658855366e-4,201.62879273993948,0.0030486073473636865
2015/16,75000,19107,2235.611063280241,0.05548816770270643,0,0,49.838463194145504,0.0012369973691686148,177.99451140766251,0.004417847747030767
2016/17,25000,43477,3698.3108647450117,0.1472261026397759,1,3.980901228267265e-5,450.78913525498893,0.01794547022226124,128.7968957871397,0.005127277206360354
2017/18,25000,63926,3657.1588327800096,0.14599331552827202,0,0,4819.068670277826,0.19237660848256682,28.571553381093825,0.0011405727775646252
2018/19,25000,12500,3098.9788053949906,0.12385991565137974,0,0,1562.5103220478945,0.062450377639351136,39.06275805119736,0.0015612594409837783
2019/20,20000,10000,1438.2575757575755,0.0714662149444758,0,0,18328.794981060604,0.9107475766986636,35.95643939393939,0.0017866553736118952
