Season,ghl,tanner_cbl,total_tanner,tanner_ratio,total_king,king_ratio,total_dungeness,dungeness_ratio,total_halibut,halibut_ratio
2014/15,7500,NA,0,NaN,0,NaN,0,NaN,0,NaN
2015/16,7500,NA,0,NaN,0,NaN,0,NaN,0,NaN
2016/17,7500,NA,15.433734939759036,Inf,0,NaN,0,NaN,4.409638554216867,Inf
2018/19,7500,3750,203.07333333333335,Inf,0,NaN,0,NaN,2.4466666666666663,Inf
