Fishery,District,Trip_ID,ADFG,Prod_Date,Cases_Packed,Meat_Weight
"DS18","D","DS18040924005940",40924,"08-21-2018",10,300
"DS18","D","DS18040924005940",40924,"08-22-2018",60,1800
"DS18","D","DS18040924005940",40924,"08-23-2018",55,1650
"DS18","D","DS18040924005940",40924,"08-24-2018",58,1740
"DS18","D","DS18040924005940",40924,"08-25-2018",49,1470
"DS18","D","DS18040924005940",40924,"08-26-2018",42,1260
"DS18","D","DS18040924005940",40924,"08-27-2018",54,1630
"DS18","D","DS18040924005940",40924,"08-30-2018",36,1080
"DS18","D","DS18040924005940",40924,"08-31-2018",56,1680
"DS18","D","DS18040924005940",40924,"09-01-2018",54,1620
"DS18","D","DS18040924005940",40924,"09-02-2018",33,990
"DS18","D","DS18040924005940",40924,"09-03-2018",40,1200
"DS18","D","DS18040924005940",40924,"09-04-2018",60,1800
"DS18","D","DS18040924005940",40924,"09-05-2018",78,2340
"DS18","D","DS18040924005940",40924,"09-06-2018",73,2190
"DS18","D","DS18040924005940",40924,"09-07-2018",13,400
"DS18","D","DS18040924005940",40924,"09-12-2018",0,0
"DS18","D","DS18040924005940",40924,"09-13-2018",40,1200
"DS18","D","DS18040924005940",40924,"09-14-2018",58,1740
"DS18","D","DS18040924005940",40924,"09-15-2018",57,1710
"DS18","D","DS18040924005940",40924,"09-16-2018",56,1680
"DS18","D","DS18040924005940",40924,"09-17-2018",60,1800
"DS18","D","DS18040924005940",40924,"09-18-2018",56,1680
"DS18","D","DS18040924005940",40924,"09-19-2018",60,1800
"DS18","D","DS18040924005940",40924,"09-20-2018",56,1680
"DS18","D","DS18040924005940",40924,"09-21-2018",59,1770
"DS18","D","DS18040924005940",40924,"09-22-2018",55,1650
"DS18","D","DS18040924005940",40924,"09-23-2018",51,1543
"DS18","D","DS18040924005940",40924,"09-24-2018",53,1590
"DS18","D","DS18040924005940",40924,"09-25-2018",53,1590
"DS18","D","DS18040924005940",40924,"09-26-2018",54,1620
"DS18","D","DS18040924005940",40924,"09-27-2018",52,1560
