Season,Fishery,District,ghl,tanner_cbl,snow_cbl,king_cbl
1985/86,HS85,KAM,20000,NA,NA,NA
1986/87,HS86,KAM,20000,NA,NA,NA
1987/88,HS87,KAM,20000,NA,NA,NA
1992/93,ES92,E,64000,NA,NA,NA
1993/94,DS93,YAK,160000,NA,NA,NA
1993/94,ES93,E,50000,NA,NA,NA
1993/94,HS93,KAM,20000,NA,NA,NA
1993/94,KS93,NA,0,NA,NA,NA
1993/94,MS93,M,0,NA,NA,NA
1993/94,OS93,O,170000,NA,NA,NA
1993/94,QS93,Q,0,NA,NA,NA
1993/94,RS93,R,0,NA,NA,NA
1994/95,DS94,YAK,285000,NA,NA,NA
1994/95,HS94,KAM,20000,NA,NA,NA
1994/95,KS94,NA,0,NA,NA,NA
1994/95,MS94,M,0,NA,NA,NA
1994/95,OS94,O,170000,NA,NA,NA
1994/95,QS94,Q,0,NA,NA,NA
1994/95,RS94,R,0,NA,NA,NA
1995/96,DS95,YAK,285000,NA,NA,NA
1995/96,ES95,E,50000,NA,NA,NA
1995/96,OS95,O,170000,NA,NA,NA
1995/96,RS95,R,75000,NA,NA,NA
1996/97,DS96,YAK,285000,NA,NA,NA
1996/97,HS96,KAM,28000,NA,NA,NA
1996/97,KS96,KNE,400000,NA,NA,NA
1996/97,KS96,KSEM,0,NA,NA,NA
1996/97,KS96,KSH,0,NA,NA,NA
1996/97,MS96,M,200000,NA,NA,NA
1996/97,OS96,O,170000,NA,NA,NA
1996/97,QS96,Q,600000,NA,NA,NA
1996/97,RS96,R,75000,NA,NA,NA
1997/98,DS97,YAK,285000,NA,NA,NA
1997/98,ES97,E,17200,NA,NA,NA
1997/98,HS97,KAM,20000,NA,NA,NA
1997/98,KS97,KNE,400000,NA,NA,NA
1997/98,KS97,KSEM,0,NA,NA,NA
1997/98,KS97,KSH,0,NA,NA,NA
1997/98,MS97,M,200000,NA,NA,NA
1997/98,OS97,O,170000,NA,NA,NA
1997/98,QS97,Q,600000,NA,NA,NA
1997/98,RS97,R,75000,NA,NA,NA
1998/99,DS98,YAK,285000,NA,NA,NA
1998/99,ES98,EKI,6000,NA,NA,NA
1998/99,ES98,WKI,14000,NA,NA,NA
1998/99,HS98,KAM,20000,NA,NA,NA
1998/99,KS98,KNE,300000,NA,NA,NA
1998/99,KS98,KSEM,0,NA,NA,NA
1998/99,KS98,KSH,0,NA,NA,NA
1998/99,MS98,M,200000,NA,NA,NA
1998/99,OS98,O,110000,NA,NA,NA
1998/99,QS98,Q,400000,NA,NA,NA
1998/99,RS98,R,75000,NA,NA,NA
1999/00,DS99,YAK,285000,NA,NA,NA
1999/00,ES99,EKI,6000,NA,NA,NA
1999/00,ES99,WKI,14000,NA,NA,NA
1999/00,HS99,KAM,20000,NA,NA,NA
1999/00,KS99,KNE,75000,NA,NA,NA
1999/00,KS99,KSEM,0,NA,NA,NA
1999/00,KS99,KSH,180000,NA,NA,NA
1999/00,MS99,M,200000,NA,NA,NA
1999/00,OS99,O,110000,NA,NA,NA
1999/00,QS99,Q,400000,NA,NA,NA
1999/00,RS99,R,75000,NA,NA,NA
2000/01,DS00,YAK,235000,NA,NA,NA
2000/01,ES00,EKI,9000,NA,NA,NA
2000/01,ES00,WKI,21000,NA,NA,NA
2000/01,HS00,KAM,20000,NA,NA,NA
2000/01,KS00,KNE,80000,NA,NA,NA
2000/01,KS00,KSH,180000,NA,NA,NA
2000/01,MS00,M,33000,NA,NA,NA
