Fishery,District,Haul_ID,ADFG,Rtnd_Disc,Shell_Height,Shell_Num
"DS15","YAK","DS15040924201508130012",40924,"R",142,1
"DS15","YAK","DS15040924201508130012",40924,"R",151,2
"DS15","YAK","DS15040924201508130012",40924,"R",149,3
"DS15","YAK","DS15040924201508130012",40924,"R",119,4
"DS15","YAK","DS15040924201508130012",40924,"R",148,5
"DS15","YAK","DS15040924201508130012",40924,"R",143,6
"DS15","YAK","DS15040924201508130012",40924,"R",145,7
"DS15","YAK","DS15040924201508130012",40924,"R",124,8
"DS15","YAK","DS15040924201508130012",40924,"R",154,9
"DS15","YAK","DS15040924201508130012",40924,"R",133,10
"DS15","YAK","DS15040924201508130012",40924,"R",144,11
"DS15","YAK","DS15040924201508130012",40924,"R",147,12
"DS15","YAK","DS15040924201508130012",40924,"R",127,13
"DS15","YAK","DS15040924201508130012",40924,"R",156,14
"DS15","YAK","DS15040924201508130012",40924,"R",136,15
"DS15","YAK","DS15040924201508130012",40924,"R",134,16
"DS15","YAK","DS15040924201508130012",40924,"R",140,17
"DS15","YAK","DS15040924201508130012",40924,"R",139,18
"DS15","YAK","DS15040924201508130012",40924,"R",152,19
"DS15","YAK","DS15040924201508130012",40924,"R",150,20
"DS15","YAK","DS15040924201508130012",40924,"D",103,41
"DS15","YAK","DS15040924201508130012",40924,"D",151,42
"DS15","YAK","DS15040924201508130012",40924,"D",105,43
"DS15","YAK","DS15040924201508130014",40924,"R",135,1
"DS15","YAK","DS15040924201508130014",40924,"R",145,2
"DS15","YAK","DS15040924201508130014",40924,"R",143,3
"DS15","YAK","DS15040924201508130014",40924,"R",151,4
"DS15","YAK","DS15040924201508130014",40924,"R",143,5
"DS15","YAK","DS15040924201508130014",40924,"R",127,6
"DS15","YAK","DS15040924201508130014",40924,"R",150,7
"DS15","YAK","DS15040924201508130014",40924,"R",135,8
"DS15","YAK","DS15040924201508130014",40924,"R",156,9
"DS15","YAK","DS15040924201508130014",40924,"R",153,10
"DS15","YAK","DS15040924201508130014",40924,"R",144,11
"DS15","YAK","DS15040924201508130014",40924,"R",145,12
"DS15","YAK","DS15040924201508130014",40924,"R",155,13
"DS15","YAK","DS15040924201508130014",40924,"R",148,14
"DS15","YAK","DS15040924201508130014",40924,"R",128,15
"DS15","YAK","DS15040924201508130014",40924,"R",136,16
"DS15","YAK","DS15040924201508130014",40924,"R",127,17
"DS15","YAK","DS15040924201508130014",40924,"R",139,18
"DS15","YAK","DS15040924201508130014",40924,"R",133,19
"DS15","YAK","DS15040924201508130014",40924,"R",125,20
"DS15","YAK","DS15040924201508130014",40924,"D",100,41
"DS15","YAK","DS15040924201508130014",40924,"D",103,42
"DS15","YAK","DS15040924201508130014",40924,"D",115,43
"DS15","YAK","DS15040924201508130014",40924,"D",98,44
"DS15","YAK","DS15040924201508130017",40924,"R",124,1
"DS15","YAK","DS15040924201508130017",40924,"R",138,2
"DS15","YAK","DS15040924201508130017",40924,"R",136,3
"DS15","YAK","DS15040924201508130017",40924,"R",143,4
"DS15","YAK","DS15040924201508130017",40924,"R",158,5
"DS15","YAK","DS15040924201508130017",40924,"R",147,6
"DS15","YAK","DS15040924201508130017",40924,"R",141,7
"DS15","YAK","DS15040924201508130017",40924,"R",133,8
"DS15","YAK","DS15040924201508130017",40924,"R",125,9
"DS15","YAK","DS15040924201508130017",40924,"R",141,10
"DS15","YAK","DS15040924201508130017",40924,"R",126,11
"DS15","YAK","DS15040924201508130017",40924,"R",125,12
"DS15","YAK","DS15040924201508130017",40924,"R",118,13
"DS15","YAK","DS15040924201508130017",40924,"R",144,14
"DS15","YAK","DS15040924201508130017",40924,"R",148,15
"DS15","YAK","DS15040924201508130017",40924,"R",152,16
"DS15","YAK","DS15040924201508130017",40924,"R",143,17
"DS15","YAK","DS15040924201508130017",40924,"R",124,18
"DS15","YAK","DS15040924201508130017",40924,"R",145,19
"DS15","YAK","DS15040924201508130017",40924,"R",150,20
"DS15","YAK","DS15040924201508130017",40924,"D",99,41
"DS15","YAK","DS15040924201508130017",40924,"D",103,42
"DS15","YAK","DS15040924201508130017",40924,"D",92,43
"DS15","YAK","DS15040924201508130017",40924,"D",116,44
"DS15","YAK","DS15040924201508130017",40924,"D",83,45
"DS15","YAK","DS15040924201508130017",40924,"D",92,46
