Fishery,District,Haul_ID,ADFG,Rtnd_Disc,Shell_Height,Shell_Num
"DS14","YAK","DS14040924201408070001",40924,"R",108,1
"DS14","YAK","DS14040924201408070001",40924,"R",108,2
"DS14","YAK","DS14040924201408070001",40924,"R",112,3
"DS14","YAK","DS14040924201408070001",40924,"R",111,4
"DS14","YAK","DS14040924201408070001",40924,"R",115,5
"DS14","YAK","DS14040924201408070001",40924,"R",125,6
"DS14","YAK","DS14040924201408070001",40924,"R",143,7
"DS14","YAK","DS14040924201408070001",40924,"R",105,8
"DS14","YAK","DS14040924201408070001",40924,"R",120,9
"DS14","YAK","DS14040924201408070001",40924,"R",119,10
"DS14","YAK","DS14040924201408070001",40924,"R",105,11
"DS14","YAK","DS14040924201408070001",40924,"R",97,12
"DS14","YAK","DS14040924201408070001",40924,"R",126,13
"DS14","YAK","DS14040924201408070001",40924,"R",107,14
"DS14","YAK","DS14040924201408070001",40924,"R",118,15
"DS14","YAK","DS14040924201408070001",40924,"R",121,16
"DS14","YAK","DS14040924201408070001",40924,"R",112,17
"DS14","YAK","DS14040924201408070001",40924,"R",121,18
"DS14","YAK","DS14040924201408070001",40924,"R",127,19
"DS14","YAK","DS14040924201408070001",40924,"R",117,20
"DS14","YAK","DS14040924201408070001",40924,"D",81,41
"DS14","YAK","DS14040924201408070001",40924,"D",58,42
"DS14","YAK","DS14040924201408070001",40924,"D",118,43
"DS14","YAK","DS14040924201408070001",40924,"D",78,44
"DS14","YAK","DS14040924201408070001",40924,"D",93,45
"DS14","YAK","DS14040924201408070001",40924,"D",105,46
"DS14","YAK","DS14040924201408070001",40924,"D",101,47
"DS14","YAK","DS14040924201408070001",40924,"D",96,48
"DS14","YAK","DS14040924201408070001",40924,"D",102,49
"DS14","YAK","DS14040924201408070001",40924,"D",80,50
"DS14","YAK","DS14040924201408070001",40924,"D",101,51
"DS14","YAK","DS14040924201408070001",40924,"D",79,52
"DS14","YAK","DS14040924201408070001",40924,"D",111,53
"DS14","YAK","DS14040924201408070001",40924,"D",109,54
"DS14","YAK","DS14040924201408070001",40924,"D",100,55
"DS14","YAK","DS14040924201408070001",40924,"D",65,56
"DS14","YAK","DS14040924201408070001",40924,"D",101,57
"DS14","YAK","DS14040924201408070001",40924,"D",99,58
"DS14","YAK","DS14040924201408070001",40924,"D",108,59
"DS14","YAK","DS14040924201408070001",40924,"D",58,60
"DS14","YAK","DS14040924201408070003",40924,"R",135,1
"DS14","YAK","DS14040924201408070003",40924,"R",147,2
"DS14","YAK","DS14040924201408070003",40924,"R",113,3
"DS14","YAK","DS14040924201408070003",40924,"R",140,4
"DS14","YAK","DS14040924201408070003",40924,"R",125,5
"DS14","YAK","DS14040924201408070003",40924,"R",113,6
"DS14","YAK","DS14040924201408070003",40924,"R",127,7
"DS14","YAK","DS14040924201408070003",40924,"R",147,8
"DS14","YAK","DS14040924201408070003",40924,"R",112,9
"DS14","YAK","DS14040924201408070003",40924,"R",114,10
"DS14","YAK","DS14040924201408070003",40924,"R",114,11
"DS14","YAK","DS14040924201408070003",40924,"R",115,12
"DS14","YAK","DS14040924201408070003",40924,"R",133,13
"DS14","YAK","DS14040924201408070003",40924,"R",116,14
"DS14","YAK","DS14040924201408070003",40924,"R",118,15
"DS14","YAK","DS14040924201408070003",40924,"R",139,16
"DS14","YAK","DS14040924201408070003",40924,"R",136,17
"DS14","YAK","DS14040924201408070003",40924,"R",129,18
"DS14","YAK","DS14040924201408070003",40924,"R",131,19
"DS14","YAK","DS14040924201408070003",40924,"R",157,20
"DS14","YAK","DS14040924201408070003",40924,"D",109,41
"DS14","YAK","DS14040924201408070003",40924,"D",122,42
"DS14","YAK","DS14040924201408070003",40924,"D",112,43
"DS14","YAK","DS14040924201408070003",40924,"D",113,44
"DS14","YAK","DS14040924201408070003",40924,"D",90,45
"DS14","YAK","DS14040924201408070003",40924,"D",131,46
"DS14","YAK","DS14040924201408070003",40924,"D",70,47
"DS14","YAK","DS14040924201408070003",40924,"D",121,48
"DS14","YAK","DS14040924201408070003",40924,"D",117,49
"DS14","YAK","DS14040924201408070003",40924,"D",110,50
"DS14","YAK","DS14040924201408070003",40924,"D",115,51
"DS14","YAK","DS14040924201408070003",40924,"D",113,52
"DS14","YAK","DS14040924201408070003",40924,"D",112,53
"DS14","YAK","DS14040924201408070003",40924,"D",132,54
"DS14","YAK","DS14040924201408070003",40924,"D",137,55
"DS14","YAK","DS14040924201408070003",40924,"D",119,56
"DS14","YAK","DS14040924201408070003",40924,"D",79,57
"DS14","YAK","DS14040924201408070003",40924,"D",109,58
"DS14","YAK","DS14040924201408070003",40924,"D",125,59
"DS14","YAK","DS14040924201408070003",40924,"D",112,60
"DS14","YAK","DS14040924201408070005",40924,"R",140,1
"DS14","YAK","DS14040924201408070005",40924,"R",109,2
"DS14","YAK","DS14040924201408070005",40924,"R",113,3
"DS14","YAK","DS14040924201408070005",40924,"R",109,4
"DS14","YAK","DS14040924201408070005",40924,"R",109,5
"DS14","YAK","DS14040924201408070005",40924,"R",114,6
"DS14","YAK","DS14040924201408070005",40924,"R",109,7
"DS14","YAK","DS14040924201408070005",40924,"R",115,8
"DS14","YAK","DS14040924201408070005",40924,"R",121,9
"DS14","YAK","DS14040924201408070005",40924,"R",108,10
"DS14","YAK","DS14040924201408070005",40924,"R",141,11
"DS14","YAK","DS14040924201408070005",40924,"R",108,12
"DS14","YAK","DS14040924201408070005",40924,"R",112,13
"DS14","YAK","DS14040924201408070005",40924,"R",122,14
"DS14","YAK","DS14040924201408070005",40924,"R",124,15
"DS14","YAK","DS14040924201408070005",40924,"R",104,16
"DS14","YAK","DS14040924201408070005",40924,"R",106,17
"DS14","YAK","DS14040924201408070005",40924,"R",115,18
