Fishery,District,Haul_ID,ADFG,Rtnd_Disc,Shell_Height,Shell_Num
"DS12","YAK","DS12040924201207300002",40924,"R",141,1
"DS12","YAK","DS12040924201207300002",40924,"R",143,2
"DS12","YAK","DS12040924201207300002",40924,"R",162,3
"DS12","YAK","DS12040924201207300002",40924,"R",143,4
"DS12","YAK","DS12040924201207300002",40924,"R",138,5
"DS12","YAK","DS12040924201207300002",40924,"R",128,6
"DS12","YAK","DS12040924201207300002",40924,"R",149,7
"DS12","YAK","DS12040924201207300002",40924,"R",152,8
"DS12","YAK","DS12040924201207300002",40924,"R",156,9
"DS12","YAK","DS12040924201207300002",40924,"R",145,10
"DS12","YAK","DS12040924201207300002",40924,"R",129,11
"DS12","YAK","DS12040924201207300002",40924,"R",146,12
"DS12","YAK","DS12040924201207300002",40924,"R",147,13
"DS12","YAK","DS12040924201207300002",40924,"R",132,14
"DS12","YAK","DS12040924201207300002",40924,"R",150,15
"DS12","YAK","DS12040924201207300002",40924,"R",133,16
"DS12","YAK","DS12040924201207300002",40924,"R",138,17
"DS12","YAK","DS12040924201207300002",40924,"R",141,18
"DS12","YAK","DS12040924201207300002",40924,"R",138,19
"DS12","YAK","DS12040924201207300002",40924,"R",162,20
"DS12","YAK","DS12040924201207300002",40924,"D",101,41
"DS12","YAK","DS12040924201207300002",40924,"D",122,42
"DS12","YAK","DS12040924201207300002",40924,"D",104,43
"DS12","YAK","DS12040924201207300002",40924,"D",132,44
"DS12","YAK","DS12040924201207300002",40924,"D",103,45
"DS12","YAK","DS12040924201207300002",40924,"D",82,46
"DS12","YAK","DS12040924201207300002",40924,"D",95,47
"DS12","YAK","DS12040924201207300002",40924,"D",103,48
"DS12","YAK","DS12040924201207300002",40924,"D",105,49
"DS12","YAK","DS12040924201207300002",40924,"D",112,50
"DS12","YAK","DS12040924201207300002",40924,"D",99,51
"DS12","YAK","DS12040924201207300002",40924,"D",107,52
"DS12","YAK","DS12040924201207300002",40924,"D",96,53
"DS12","YAK","DS12040924201207300002",40924,"D",103,54
"DS12","YAK","DS12040924201207300002",40924,"D",105,55
"DS12","YAK","DS12040924201207300002",40924,"D",96,56
"DS12","YAK","DS12040924201207300002",40924,"D",103,57
"DS12","YAK","DS12040924201207300002",40924,"D",106,58
"DS12","YAK","DS12040924201207300002",40924,"D",105,59
"DS12","YAK","DS12040924201207300002",40924,"D",107,60
"DS12","YAK","DS12040924201207300003",40924,"R",145,1
"DS12","YAK","DS12040924201207300003",40924,"R",146,2
"DS12","YAK","DS12040924201207300003",40924,"R",124,3
"DS12","YAK","DS12040924201207300003",40924,"R",149,4
"DS12","YAK","DS12040924201207300003",40924,"R",149,5
"DS12","YAK","DS12040924201207300003",40924,"R",149,6
"DS12","YAK","DS12040924201207300003",40924,"R",144,7
"DS12","YAK","DS12040924201207300003",40924,"R",147,8
"DS12","YAK","DS12040924201207300003",40924,"R",129,9
"DS12","YAK","DS12040924201207300003",40924,"R",136,10
"DS12","YAK","DS12040924201207300003",40924,"R",140,11
"DS12","YAK","DS12040924201207300003",40924,"R",143,12
"DS12","YAK","DS12040924201207300003",40924,"R",136,13
"DS12","YAK","DS12040924201207300003",40924,"R",152,14
"DS12","YAK","DS12040924201207300003",40924,"R",167,15
"DS12","YAK","DS12040924201207300003",40924,"R",138,16
"DS12","YAK","DS12040924201207300003",40924,"R",147,17
"DS12","YAK","DS12040924201207300003",40924,"R",134,18
"DS12","YAK","DS12040924201207300003",40924,"R",140,19
"DS12","YAK","DS12040924201207300003",40924,"R",142,20
"DS12","YAK","DS12040924201207300003",40924,"D",138,41
"DS12","YAK","DS12040924201207300003",40924,"D",131,42
"DS12","YAK","DS12040924201207300003",40924,"D",83,43
"DS12","YAK","DS12040924201207300003",40924,"D",90,44
"DS12","YAK","DS12040924201207300003",40924,"D",98,45
"DS12","YAK","DS12040924201207300003",40924,"D",98,46
"DS12","YAK","DS12040924201207300003",40924,"D",117,47
"DS12","YAK","DS12040924201207300003",40924,"D",120,48
"DS12","YAK","DS12040924201207300003",40924,"D",117,49
"DS12","YAK","DS12040924201207300003",40924,"D",101,50
"DS12","YAK","DS12040924201207300003",40924,"D",130,51
"DS12","YAK","DS12040924201207300003",40924,"D",108,52
"DS12","YAK","DS12040924201207300003",40924,"D",95,53
"DS12","YAK","DS12040924201207300003",40924,"D",93,54
"DS12","YAK","DS12040924201207300003",40924,"D",94,55
"DS12","YAK","DS12040924201207300003",40924,"D",113,56
"DS12","YAK","DS12040924201207300003",40924,"D",111,57
"DS12","YAK","DS12040924201207300003",40924,"D",108,58
"DS12","YAK","DS12040924201207300003",40924,"D",106,59
"DS12","YAK","DS12040924201207300003",40924,"D",93,60
"DS12","YAK","DS12040924201207300008",40924,"R",139,1
"DS12","YAK","DS12040924201207300008",40924,"R",135,2
"DS12","YAK","DS12040924201207300008",40924,"R",144,3
"DS12","YAK","DS12040924201207300008",40924,"R",159,4
"DS12","YAK","DS12040924201207300008",40924,"R",151,5
"DS12","YAK","DS12040924201207300008",40924,"R",134,6
"DS12","YAK","DS12040924201207300008",40924,"R",118,7
"DS12","YAK","DS12040924201207300008",40924,"R",124,8
"DS12","YAK","DS12040924201207300008",40924,"R",138,9
"DS12","YAK","DS12040924201207300008",40924,"R",146,10
"DS12","YAK","DS12040924201207300008",40924,"R",147,11
"DS12","YAK","DS12040924201207300008",40924,"R",147,12
"DS12","YAK","DS12040924201207300008",40924,"R",133,13
"DS12","YAK","DS12040924201207300008",40924,"R",149,14
"DS12","YAK","DS12040924201207300008",40924,"R",138,15
"DS12","YAK","DS12040924201207300008",40924,"R",140,16
"DS12","YAK","DS12040924201207300008",40924,"R",156,17
"DS12","YAK","DS12040924201207300008",40924,"R",146,18
"DS12","YAK","DS12040924201207300008",40924,"R",145,19
"DS12","YAK","DS12040924201207300008",40924,"R",142,20
"DS12","YAK","DS12040924201207300008",40924,"D",106,41
"DS12","YAK","DS12040924201207300008",40924,"D",110,42
