tow_id,Bed,area_swept,station
19010001,YAK4,0.0015009582,DFG590
19010002,YAK4,0.0015141245,DFH591
19010003,YAK4,0.0014482930000000002,DFI593
19010004,YAK4,0.0014087941000000001,DFK594
19010005,YAK4,0.0013692952,DFJ595
19010006,YAK4,0.0015009582,DFL597
19010007,YAK4,0.0016326212,DFM597
19010009,YAK4,0.0015536234,DFO598
19010010,YAK4,0.0014482930000000002,DFN599
19010011,YAK5,0.001184967,DFW615
19010012,YAK5,0.0012507985,DFU615
19010013,YAK5,0.0015141245,DFS617
19010014,YAK5,0.0014614593000000001,DFR616
19010015,YAK5,0.0014482930000000002,DFQ616
19010017,YAK5,0.0014219604000000002,DFS614
19010018,YAK5,0.0014087941000000001,DFR612
19010019,YAK5,0.0014351267000000001,DFQ610
19010020,YAK4,0.0014219604000000002,DET576
19010021,YAK4,0.0015141245,DES576
19010022,YAK4,0.0012902974,DER576
19010023,YAK4,0.0014482930000000002,DEQ574
19010025,YAK4,0.0013824615000000001,DER573
19010026,YAK4,0.0012507985,DEV582
19010027,YAK4,0.0013692952,DEW581
19010028,YAK4,0.0012639648,DEV579
19010029,YAK4,0.0014351267000000001,DEU579
19010030,YAK4,0.0013429626,DET579
19010031,YAK4,0.0014614593000000001,DFF591
19010033,YAK4,0.0014351267000000001,DFE591
19010034,YAK4,0.0014351267000000001,DFD590
19010035,YAK4,0.0012507985,DFC590
19010036,YAK4,0.0013297963000000002,DFC587
19010037,YAK4,0.0014482930000000002,DFB587
19010038,YAK4,0.0012771311,DFA586
19010039,YAK4,0.0012771311,DEZ587
19010041,YAK4,0.0013824615000000001,DEZ584
19010042,YAK4,0.0014746256000000002,DEY584
19010043,YAK4,0.0015009582,DEX584
19010044,YAK4,0.001184967,DEW584
19010045,YAK4,0.0013824615000000001,DFG593
19010046,YAK4,0.0014219604000000002,DFH594
19010047,YAK4,0.0013956278,DFI596
19010049,YAK5,0.001184967,DFO614
19010050,YAK5,0.0012507985,DFP614
