Bed,Clappers,N,% clappers,N (large),Weak meats
WK1,0,2085,0,145,4.1
YAK3,0,5456,0,485,3.3
YAK4,0,5268,0,371,4.3
YAK5,0,1204,0,152,7.2
YAKB,0,262,0,98,13.3
