Bed,Size,est,l95,u95
WK1,small,115079,33455,218930
WK1,large,1905931,874346,3400765
YAK3,small,358876,184638,624309
YAK3,large,4250686,2932296,5915012
YAK4,small,349564,215104,503487
YAK4,large,2910977,2223563,3640493
YAK5,small,61588,24757,120507
YAK5,large,765030,466330,1089605
YAKB,small,3932,1816,6238
YAKB,large,399262,268809,524081
