Bed,Size,est,l95,u95
WK1,small,840254,338356,1479146
WK1,large,4827241,1865560,8873433
YAK3,small,4813146,2383390,8096588
YAK3,large,10494551,7083582,14682959
YAK4,small,5399349,3127339,7830434
YAK4,large,9138029,6935019,11461825
YAK5,small,820044,253978,1589497
YAK5,large,2295146,1378930,3327451
YAKB,small,78809,40665,121764
YAKB,large,635589,397567,861225
