Bed,N,0%,1-24%,25-49%,50-74%,75-100%
WK1,233,99.1,0.9,0,0,0
YAK3,827,89.2,10.6,0.1,0,0
YAK4,683,93.3,6.4,0.1,0.1,0
YAK5,246,93.1,6.9,0,0,0
YAKB,127,71.7,28.3,0,0,0
